time,  gyro-x,  gyro-y,  gyro-z
1467159717209, 0.01863139, 0.9966267, -0.0021380284
1467159717311, -0.0021380284, 0.44623706, 0.0021380284
1467159717413, -0.0290161, -0.0036651916, 0.010995574
1467159717515, -0.017715093, -0.062002823, -0.0027488936
1467159717620, -0.014049901, -0.007330383, 0.0027488936
1467159717725, -0.019242255, -0.014660766, -6.1086525E-4
1467159717829, -0.021380283, -0.032070424, -0.0070249503
1467159717930, -0.015882496, 0.027183503, 0.0067195175
1467159718044, 0.16890424, 5.920506, -0.015882496
1467159718146, 0.22968534, 7.19752, 0.005497787
1467159718252, 0.026267206, 2.8597655, 0.017104227
1467159718356, -0.022907447, -0.12064589, -0.0033597588
1467159718464, -0.018325957, -0.06291912, -0.00580322
1467159718571, -0.021685716, -0.037873644, -0.004581489
1467159718674, -0.021685716, -0.01160644, 9.162979E-4
1467159718776, -0.019242255, -0.013744468, -0.0027488936
1467159718885, -0.034208454, -0.17501289, -0.015882496
1467159718987, -0.09437868, -3.0793717, -0.16432275
1467159719088, -0.17562376, -6.5942903, 0.40194935
1467159719194, -0.19303341, -4.269948, 0.03970624
1467159719296, -3.0543262E-4, 0.17928895, -0.007330383
1467159719397, -0.020158553, -0.061391957, -0.004276057
1467159719498, -0.057421334, -0.926988, 0.009468411
1467159719602, -0.0015271631, 0.15821409, -0.005497787
1467159719705, -0.020463986, 0.0021380284, 0.002443461
1467159719807, -0.026267206, -0.15118915, 0.0012217305
1467159719909, -0.03481932, -0.5448918, 0.011301007
1467159720012, -0.14355333, -4.8857, -0.0036651916
1467159720115, 0.008857546, -1.7067575, -0.21227567
1467159720249, -0.11148291, -3.6462545, -0.009773844
1467159720351, -0.008552114, -0.516792, -0.0033597588
1467159720454, -0.0061086523, 0.37048978, -0.014660766
1467159720556, -0.016187929, 0.13469578, -0.0012217305
1467159720657, -0.021380283, -0.0711658, -3.0543262E-4
1467159720758, -0.023823744, -0.13897185, -0.005497787
1467159720864, -0.11148291, -1.915368, -0.019242255
1467159720967, -0.07696902, -3.3533447, 0.04337143
1467159721070, -0.1432479, -4.4751987, 9.162979E-4
1467159721179, -0.13561209, -3.716504, 0.01038471
1467159721286, -0.03634648, -1.1621711, -0.011301007
1467159721387, -0.01160644, 0.009468411, 0.011301007
1467159721489, -0.02076942, -0.029932396, 0.0027488936
1467159721591, -0.017104227, -0.032375857, -0.004276057
1467159721696, -0.05955936, -2.2375994, -0.01160644
1467159721804, -0.18600847, -7.3957458, 0.018936822
1467159721906, -0.065973446, -3.2268956, -0.016493361
1467159722007, -0.043066, -1.0012082, -0.030848695
1467159722108, -0.029932396, -0.32528573, 0.0033597588
1467159722212, -0.0125227375, -0.13683382, -0.08582657
