timeInMs,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,gyroRotationZ
0,1,140480.5973,0.444915771,0.2681427,-0.908874512,140480.5963,0.85411278,-0.318033632,-0.210481605,-0.210481605
10.01,2,140480.6073,0.449615479,0.28692627,-0.923553467,140480.6063,1.072092781,-0.254199259,-0.176062112,-0.176062112
20.01899999,3,140480.6174,0.445526123,0.292526245,-0.933609009,140480.6163,1.249393796,-0.222327612,-0.127789122,-0.127789122
30.04124999,4,140480.6274,0.442626953,0.284225464,-0.938476563,140480.6263,1.333419458,-0.207539611,-0.047712395,-0.047712395
40.02024999,5,140480.6374,0.443313599,0.274719238,-0.92868042,140480.6364,1.302904425,-0.212997493,0.042531482,0.042531482
50.03024999,6,140480.6474,0.451477051,0.259368896,-0.90222168,140480.6464,1.173042299,-0.250370166,0.114006464,0.114006464
60.04024998,7,140480.6574,0.444915771,0.246948242,-0.862915039,140480.6564,0.958793652,-0.288767622,0.158096161,0.158096161
70.05025001,8,140480.6674,0.412460327,0.236434937,-0.820343018,140480.6664,0.721052463,-0.303713815,0.183685677,0.183685677
80.05925,9,140480.6774,0.372390747,0.22857666,-0.807861328,140480.6764,0.494069113,-0.295208744,0.190971021,0.190971021
90.06925,10,140480.6874,0.3568573,0.233673096,-0.823120117,140480.6864,0.286235755,-0.205763283,0.184133355,0.184133355
100.07925,11,140480.6974,0.371810913,0.247802734,-0.879959106,140480.6964,0.141780571,-0.12265508,0.143238386,0.143238386
110.08925,12,140480.7074,0.388885498,0.270980835,-0.925338745,140480.7064,0.127082319,-0.165201209,0.114223512,0.114223512
120.06825,13,140480.7174,0.388885498,0.317108154,-0.929870605,140480.7164,0.216253474,-0.285507913,0.109712117,0.109712117
130.07825,14,140480.7274,0.365890503,0.327087402,-0.92074585,140480.7264,0.334487174,-0.35144139,0.056774866,0.056774866
140.08725,15,140480.7374,0.346908569,0.304397583,-0.883926392,140480.7364,0.422382942,-0.341822052,0.032496158,0.032496158
150.09725,16,140480.7474,0.341796875,0.290267944,-0.841674805,140480.7464,0.48221991,-0.25342055,0.013202621,0.013202621
160.10725,17,140480.7574,0.34362793,0.277832031,-0.818191528,140480.7564,0.515310752,-0.145839495,-0.015987222,-0.015987222
170.11725,18,140480.7675,0.343307495,0.265640259,-0.804489136,140480.7664,0.518531046,-0.051019242,-0.056072058,-0.056072058
180.12725,19,140480.7775,0.331344604,0.243911743,-0.800582886,140480.7764,0.4786827,0.11938099,-0.085866971,-0.085866971
