time,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ
0.0,0.3034,-0.5135,0.7911,-0.3302420377731323,-0.13848860561847687,0.19494934380054474
42.0,0.3191,-0.4041,0.9499,-0.3302420377731323,-0.13848860561847687,0.19494934380054474
93.0,0.3191,-0.4041,0.9499,-0.3302420377731323,-0.13848860561847687,0.19494934380054474
110.0,0.3191,-0.4041,0.9499,-0.3302420377731323,-0.13848860561847687,0.19494934380054474
113.0,0.3191,-0.4041,0.9499,-0.3302420377731323,-0.13848860561847687,0.19494934380054474
210.0,0.3191,-0.4041,0.9499,0.7542302012443542,-0.34728679060935974,-0.04048128426074982
223.0,0.3039,-0.4202,1.1585,0.7542302012443542,-0.34728679060935974,-0.04048128426074982
280.0,0.3039,-0.4202,1.1585,0.7542302012443542,-0.34728679060935974,-0.04048128426074982
300.0,0.3039,-0.4202,1.1585,0.7542302012443542,-0.34728679060935974,-0.04048128426074982
313.0,0.3039,-0.4202,1.1585,0.7542302012443542,-0.34728679060935974,-0.04048128426074982
408.0,0.3039,-0.4202,1.1585,-0.345156192779541,-1.3305559158325195,0.05326484516263008
422.0,0.4788,-0.4559,1.0534,-0.345156192779541,-1.3305559158325195,0.05326484516263008
476.0,0.4788,-0.4559,1.0534,-0.345156192779541,-1.3305559158325195,0.05326484516263008
495.0,0.4788,-0.4559,1.0534,-0.345156192779541,-1.3305559158325195,0.05326484516263008
603.0,0.4788,-0.4559,1.0534,-0.345156192779541,-1.3305559158325195,0.05326484516263008
608.0,0.4788,-0.4559,1.0534,-1.396604299545288,-0.7169448137283325,0.7499690651893616
613.0,0.5922,-0.7627,0.6293,-1.396604299545288,-0.7169448137283325,0.7499690651893616
671.0,0.5922,-0.7627,0.6293,-1.396604299545288,-0.7169448137283325,0.7499690651893616
689.0,0.5922,-0.7627,0.6293,-1.396604299545288,-0.7169448137283325,0.7499690651893616
797.0,0.5922,-0.7627,0.6293,-1.396604299545288,-0.7169448137283325,0.7499690651893616
800.0,0.5922,-0.7627,0.6293,1.3827553987503052,-2.3724162578582764,-0.18536166846752167
807.0,0.8849,-0.4324,0.7872,1.3827553987503052,-2.3724162578582764,-0.18536166846752167
866.0,0.8849,-0.4324,0.7872,1.3827553987503052,-2.3724162578582764,-0.18536166846752167
885.0,0.8849,-0.4324,0.7872,1.3827553987503052,-2.3724162578582764,-0.18536166846752167
995.0,0.8849,-0.4324,0.7872,-2.953003168106079,0.4016169309616089,0.5923051238059998
1004.0,0.2345,-0.7295,0.3015,-2.953003168106079,0.4016169309616089,0.5923051238059998
1062.0,0.2345,-0.7295,0.3015,-2.953003168106079,0.4016169309616089,0.5923051238059998
1081.0,0.2345,-0.7295,0.3015,-2.953003168106079,0.4016169309616089,0.5923051238059998
1168.0,0.2345,-0.7295,0.3015,-2.953003168106079,0.4016169309616089,0.5923051238059998
1187.0,0.2345,-0.7295,0.3015,-1.181414246559143,1.9910399913787842,2.465097188949585
1197.0,0.7319,-0.6870,0.1998,-1.181414246559143,1.9910399913787842,2.465097188949585
1258.0,0.7319,-0.6870,0.1998,-1.181414246559143,1.9910399913787842,2.465097188949585
1277.0,0.7319,-0.6870,0.1998,-1.181414246559143,1.9910399913787842,2.465097188949585
1386.0,0.7319,-0.6870,0.1998,0.625329315662384,-2.295714855194092,0.7957767844200134
1396.0,0.0088,-2.1831,0.6626,0.625329315662384,-2.295714855194092,0.7957767844200134
1425.0,0.0088,-2.1831,0.6626,0.625329315662384,-2.295714855194092,0.7957767844200134
1455.0,0.0088,-2.1831,0.6626,0.625329315662384,-2.295714855194092,0.7957767844200134
1477.0,0.0088,-2.1831,0.6626,0.625329315662384,-2.295714855194092,0.7957767844200134
1581.0,0.0088,-2.1831,0.6626,-2.098634958267212,1.5798354148864746,-2.9071953296661377
1590.0,0.7891,-0.8135,-0.1691,-2.098634958267212,1.5798354148864746,-2.9071953296661377
1619.0,0.7891,-0.8135,-0.1691,-2.098634958267212,1.5798354148864746,-2.9071953296661377
1651.0,0.7891,-0.8135,-0.1691,-2.098634958267212,1.5798354148864746,-2.9071953296661377
1671.0,0.7891,-0.8135,-0.1691,-2.098634958267212,1.5798354148864746,-2.9071953296661377
1776.0,0.7891,-0.8135,-0.1691,0.04048128426074982,-1.2463973760604858,-0.6445046663284302
1787.0,0.8018,-0.4241,-0.1393,0.04048128426074982,-1.2463973760604858,-0.6445046663284302
1847.0,0.8018,-0.4241,-0.1393,0.04048128426074982,-1.2463973760604858,-0.6445046663284302
1867.0,0.8018,-0.4241,-0.1393,0.04048128426074982,-1.2463973760604858,-0.6445046663284302
1973.0,0.8018,-0.4241,-0.1393,-0.9353306889533997,0.20986349880695343,0.501754879951477
1980.0,0.5111,-1.2259,-0.2350,-0.9353306889533997,0.20986349880695343,0.501754879951477
2050.0,0.5111,-1.2259,-0.2350,-0.9353306889533997,0.20986349880695343,0.501754879951477
2077.0,0.5111,-1.2259,-0.2350,-0.9353306889533997,0.20986349880695343,0.501754879951477
2165.0,0.5111,-1.2259,-0.2350,0.41440051794052124,1.1345412731170654,1.952689290046692
2176.0,0.9577,-0.8306,0.3357,0.41440051794052124,1.1345412731170654,1.952689290046692
2185.0,0.9577,-0.8306,0.3357,0.41440051794052124,1.1345412731170654,1.952689290046692
2236.0,0.9577,-0.8306,0.3357,0.41440051794052124,1.1345412731170654,1.952689290046692
2254.0,0.9577,-0.8306,0.3357,0.41440051794052124,1.1345412731170654,1.952689290046692
2363.0,0.9577,-0.8306,0.3357,-2.4043750762939453,3.425994873046875,-0.07989726960659027
2373.0,0.3303,0.0200,-0.2643,-2.4043750762939453,3.425994873046875,-0.07989726960659027
2384.0,0.3303,0.0200,-0.2643,-2.4043750762939453,3.425994873046875,-0.07989726960659027
2430.0,0.3303,0.0200,-0.2643,-2.4043750762939453,3.425994873046875,-0.07989726960659027
2451.0,0.3303,0.0200,-0.2643,-2.4043750762939453,3.425994873046875,-0.07989726960659027
2559.0,0.3303,0.0200,-0.2643,-4.101393222808838,2.681352376937866,-2.066676139831543
2569.0,0.9738,-2.5589,-0.2726,-4.101393222808838,2.681352376937866,-2.066676139831543
2577.0,0.9738,-2.5589,-0.2726,-4.101393222808838,2.681352376937866,-2.066676139831543
2629.0,0.9738,-2.5589,-0.2726,-4.101393222808838,2.681352376937866,-2.066676139831543
2646.0,0.9738,-2.5589,-0.2726,-4.101393222808838,2.681352376937866,-2.066676139831543
2753.0,0.9738,-2.5589,-0.2726,-0.35793977975845337,1.3934084177017212,2.2062299251556396
2764.0,0.0210,-0.1363,0.0792,-0.35793977975845337,1.3934084177017212,2.2062299251556396
2773.0,0.0210,-0.1363,0.0792,-0.35793977975845337,1.3934084177017212,2.2062299251556396
2821.0,0.0210,-0.1363,0.0792,-0.35793977975845337,1.3934084177017212,2.2062299251556396
2840.0,0.0210,-0.1363,0.0792,-0.35793977975845337,1.3934084177017212,2.2062299251556396
2950.0,0.0210,-0.1363,0.0792,-1.001379132270813,1.490350365638733,-0.20453700423240662
2958.0,0.4827,-1.2372,0.1373,-1.001379132270813,1.490350365638733,-0.20453700423240662
3019.0,0.4827,-1.2372,0.1373,-1.001379132270813,1.490350365638733,-0.20453700423240662
3037.0,0.4827,-1.2372,0.1373,-1.001379132270813,1.490350365638733,-0.20453700423240662
3145.0,0.4827,-1.2372,0.1373,-1.001379132270813,1.490350365638733,-0.20453700423240662
3147.0,0.4827,-1.2372,0.1373,0.2716507315635681,-1.5020686388015747,0.6104151606559753
3154.0,0.6332,-0.7207,-0.8453,0.2716507315635681,-1.5020686388015747,0.6104151606559753
3214.0,0.6332,-0.7207,-0.8453,0.2716507315635681,-1.5020686388015747,0.6104151606559753
3233.0,0.6332,-0.7207,-0.8453,0.2716507315635681,-1.5020686388015747,0.6104151606559753
3339.0,0.6332,-0.7207,-0.8453,0.6530269980430603,-6.354496002197266,-5.591743469238281
3350.0,1.7106,-2.1797,0.5541,0.6530269980430603,-6.354496002197266,-5.591743469238281
3399.0,1.7106,-2.1797,0.5541,0.6530269980430603,-6.354496002197266,-5.591743469238281
3410.0,1.7106,-2.1797,0.5541,0.6530269980430603,-6.354496002197266,-5.591743469238281
3435.0,1.7106,-2.1797,0.5541,0.6530269980430603,-6.354496002197266,-5.591743469238281
3538.0,1.7106,-2.1797,0.5541,0.11185617744922638,-2.3500449657440186,1.4637179374694824
3545.0,0.1642,-0.4715,0.3210,0.11185617744922638,-2.3500449657440186,1.4637179374694824
