Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1.48E+09,-0.183663,-0.623691,-0.185997,0.104602,-0.001626,-0.122749
1.48E+09,-0.058775,-0.915378,-0.408617,0.111343,-0.007221,0.085215
1.48E+09,0.041499,-0.575507,-0.604234,0.121709,-0.106912,-0.175057
1.48E+09,0.085514,-0.288644,-0.713916,-0.022583,-0.135692,-0.162181
1.48E+09,0.131745,0.039828,-0.770304,-0.111271,-0.047807,-0.132182
1.48E+09,0.109517,0.262359,-0.778061,-0.113525,0.008528,-0.200759
1.48E+09,0.05728,0.320847,-0.712348,-0.089639,-0.005324,-0.189831
1.48E+09,-0.028577,0.330578,-0.608276,-0.035355,-0.030475,-0.171554
1.48E+09,-0.203757,0.165095,-0.468197,0.096867,0.021919,0.070301
1.48E+09,-0.393472,-0.205919,-0.307696,0.110696,0.012432,0.082576
1.48E+09,-0.530164,-0.442557,-0.207558,0.113893,0.007469,0.084097
1.48E+09,-0.553315,-0.532027,-0.173268,0.115077,-0.039303,0.052356
1.48E+09,-0.457695,-0.490584,-0.179946,0.119641,-0.044165,0.053716
1.48E+09,-0.269717,-0.331928,-0.235101,0.082591,-0.047491,-0.010866
1.48E+09,-0.049519,-0.106179,-0.304414,0.019819,-0.042753,-0.062224
1.48E+09,0.131142,0.164883,-0.349307,-0.032539,-0.02818,-0.082995
1.48E+09,0.221961,0.315315,-0.378744,-0.070227,-0.008424,-0.090356
1.48E+09,0.248078,0.364693,-0.349766,-0.094112,0.011543,-0.076864
1.48E+09,0.215347,0.220528,-0.288935,-0.078808,0.028611,-0.049848
1.48E+09,0.047426,0.074629,-0.265594,-0.025259,0.024607,0.005856
1.48E+09,-0.178616,-0.068017,-0.229655,0.022563,0.017105,0.077212
1.48E+09,-0.32866,-0.230201,-0.168987,0.045073,0.01398,0.161351
1.48E+09,-0.441091,-0.364724,-0.135225,0.054821,-0.001161,0.209661
1.48E+09,-0.463677,-0.519556,-0.121901,0.022643,0.018653,0.198693
1.48E+09,-0.428202,-0.663298,-0.062545,0.001459,0.02799,0.155444
1.48E+09,-0.301328,-0.710422,0.043104,0.006711,0.033935,0.109878
1.48E+09,-0.162505,-0.68786,0.10605,2.31E-04,0.047222,0.096826
1.48E+09,-0.032154,-0.714311,0.109605,-0.024237,0.071129,0.079266
1.48E+09,0.110499,-0.70479,0.10905,-0.07303,0.093775,0.057075
1.48E+09,0.19216,-0.663014,0.053107,-0.080016,0.104729,0.037574
1.48E+09,0.155774,-0.70207,-0.033837,-0.071113,0.076638,0.042817
1.48E+09,0.082673,-0.837484,0.132964,-0.090612,0.123008,0.17723
1.48E+09,-0.032189,-0.945871,0.437296,-0.048576,0.112548,0.223034
1.48E+09,-0.155433,-1.118987,0.639578,0.001315,0.096903,0.249143
1.48E+09,-0.245252,-1.367883,0.760222,0.048464,0.132272,0.268199
1.48E+09,-0.296941,-1.6402,0.898983,0.093655,0.167924,0.27759
1.48E+09,-0.312337,-1.846084,1.250548,0.142059,0.16695,0.279742
1.48E+09,-0.246391,-1.973194,1.557807,0.163203,0.138079,0.262577
1.48E+09,3.09E-04,-2.267747,1.76012,0.179459,0.169304,0.268241
1.48E+09,0.446463,-2.83752,1.892692,0.201132,0.219096,0.285614
1.48E+09,0.99477,-3.40564,1.90284,0.211379,0.223888,0.258106
1.48E+09,1.390572,-4.16083,1.844035,0.217058,0.239486,0.21541
1.48E+09,1.374034,-5.121005,1.894345,0.22764,0.263553,0.171687
1.48E+09,0.99525,-5.920899,2.327959,0.241242,0.268674,0.222932
1.48E+09,0.485241,-6.010896,2.953738,0.322103,0.2057,0.284464
1.48E+09,0.165202,-5.5859,3.650834,0.383927,0.203415,0.347716
1.48E+09,0.044317,-5.410891,4.218889,0.439049,0.328641,0.420028
1.48E+09,0.225365,-5.681584,4.623442,0.431919,0.219349,0.215747
1.48E+09,0.651709,-6.273861,4.916774,0.424132,0.184506,0.070183
1.48E+09,1.060603,-6.902693,5.133204,0.387029,0.151102,-0.073687
1.48E+09,1.198192,-7.290279,5.29136,0.326051,0.141662,-0.13953
1.48E+09,0.971903,-7.236852,5.538614,0.281086,0.158988,-0.102221
1.48E+09,0.53999,-6.669583,5.715337,0.167865,0.162029,-0.015779
1.48E+09,0.15928,-5.517891,5.548131,-0.017587,0.146225,0.010538
1.48E+09,-0.073016,-4.07002,4.97579,-0.23005,0.09815,-0.004595
1.48E+09,0.048682,-2.96682,4.175221,-0.397486,0.128886,-0.03798
1.48E+09,0.392412,-2.239016,3.467592,-0.517203,0.198958,-0.140778
1.48E+09,0.641562,-1.7143,3.454973,-0.588069,0.272602,-0.250203
1.48E+09,0.691495,-1.24781,3.312909,-0.579581,0.268095,-0.31111
1.48E+09,0.58941,-1.101999,3.54568,-0.442323,-0.136658,-0.319782
1.48E+09,0.756267,-1.241567,3.643655,-0.567185,-0.097567,-0.249082
1.48E+09,1.103064,-1.720369,3.769578,-0.471332,-0.382634,-0.236329
1.48E+09,1.679871,-2.756449,4.005118,-0.302588,-0.078128,-0.202623
1.48E+09,2.363308,-3.916393,3.75616,-0.18564,-0.122834,-0.271519
1.48E+09,2.991574,-4.747341,3.170936,-0.126624,0.063632,-0.273126
1.48E+09,3.598252,-5.492691,3.122368,-0.196986,0.513014,-0.257269
1.48E+09,4.205148,-5.943651,3.358277,-0.230959,0.447849,-0.327336
1.48E+09,4.486509,-5.929445,3.195302,-0.170278,0.036515,-0.329603
1.48E+09,4.336136,-5.558397,2.790723,-0.286171,-0.08548,-0.21548
1.48E+09,3.912705,-4.876582,2.440731,-0.464999,0.051718,-0.031128
1.48E+09,3.475018,-4.142447,2.181635,-0.536931,0.167645,0.135128
1.48E+09,3.111641,-3.506654,2.051596,-0.556768,0.166532,0.217516
