accelerometerTime(ms),AccelerationX,AccelerationY,rAccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
4200.015125,-0.290344238,0.117004395,0.838027954,4196.796,0.667742636,0.004755607,0.172021831
4259.158125,0.75743103,3.720718384,-0.453216553,4266.742,1.135299447,0.968720852,0.404536034
4318.331125,0.224334717,1.449676514,-0.589279175,4336.689,-1.329609273,-0.087844635,-0.459631777
4377.474125,0.333053589,1.444564819,-0.286209106,4371.662,-1.864449518,0.970932341,-1.013725078
4436.648125,0.0831604,0.34286499,-0.074478149,4441.608,-0.902059533,1.657096595,-1.249042259
4495.821125,0.349151611,0.122772217,0.084976196,4511.554,0.365650686,1.596879593,-0.604044084
4554.964125,0.120666504,-0.049163818,0.036453247,4581.501,1.166936736,-0.247968793,0.587320497
4614.138125,-0.367828369,0.840713501,0.246505737,4616.474,1.361288107,-0.809726939,0.603297067
4673.281125,-0.575241089,3.355194092,0.114120483,4686.42,1.568791765,-2.378518704,1.573627001
4732.455125,1.068618774,1.145370483,-0.55696106,4756.366,0.772689026,-0.999735227,1.186297118
4791.598125,-0.116714478,0.703567505,-0.411453247,4791.34,0.486680172,-2.629962657,0.161963071
4850.771125,-0.127548218,0.485412598,0.002075195,4861.286,-0.18373388,-0.985606092,0.043317647
4909.914125,-0.008575439,0.380126953,-0.164352417,4931.232,-0.130497024,-0.281161634,-0.005104215
4969.088125,-0.015701294,0.74407959,0.077987671,5001.178,0.289344729,0.844830864,0.277709378
5028.231125,0.392486572,0.723922729,-0.195251465,5036.152,0.740752931,-0.519308689,-1.06897635
5087.374125,-0.012908936,1.860488892,0.096038818,5106.098,-0.187205577,-0.489498862,-0.135973815
5146.548125,-0.057296753,0.777389526,0.069702148,5141.071,-0.743284532,0.172099595,-0.130556679
5205.691125,0.212173462,0.932601929,-0.078964233,5211.048,-0.703912625,0.573062732,-0.1976212
5264.864125,0.19380188,0.795410156,-0.078536987,5280.994,-0.547294518,0.076422337,-0.141265782
5324.007125,0.076324463,0.994873047,-0.039535522,5315.967,-0.519490051,-0.172087078,-0.235990694
5383.151125,0.048355103,1.035446167,-0.052017212,5385.913,-0.317017636,-0.104897654,-0.052627525
5442.324125,0.056243896,1.023376465,-0.065734863,5455.86,-0.221745179,-0.069243786,-0.166539447
5501.467125,0.043716431,1.010147095,-0.056259155,5525.806,-0.161929249,-0.071178306,-0.141217313
5560.641125,0.028060913,0.915161133,-0.075958252,5560.779,-0.141719851,-0.0455816,-0.135500837
