time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
96.793,9.6793,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.06331,-0.050338745,-0.309951782,-1.029556274,20728.05262,0.321186815,0.947994801,0.468516881,20728.05262,0.490774159,-0.042845646,0.390514085,0.399061769,0.872189939,0.473141342,0.002315346,0.059634183,0.031240946,-0.193268368,-0.026737879,-0.234229304,-0.952401731,-0.039607827,-0.380663842,-0.923864841,23.86875725,-10.6126461,-32.43201065,2,20724.34949
106.479,10.6479,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.07299,-0.099578857,-0.284561157,-1.108459473,20728.06263,0.081795531,0.795962391,0.398722886,20728.06263,0.495482732,-0.036844772,0.392604665,0.159632683,0.720063269,0.403334141,-0.016304985,0.07264442,-0.106267668,-0.193487429,-0.030303659,-0.236981348,-0.951569306,-0.03403376,-0.382596195,-0.923288584,24.12712479,-11.3940506,-31.97246361,2,20724.34949
116.137,11.6137,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.08265,-0.063491821,-0.132049561,-1.091766357,20728.08262,-0.817422409,-0.460734592,0.327591984,20728.08262,0.503083906,-0.040065112,0.385160612,-0.7395854,-0.536633551,0.332203239,-0.062458925,0.091146827,-0.182465076,-0.190225345,-0.028585322,-0.24053429,-0.951388697,-0.037119932,-0.375707984,-0.925994396,24.12712479,-11.3940506,-31.97246361,2,20724.34949
125.838,12.5838,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.09235,-0.122772217,-0.048583984,-1.013839722,20728.08262,-0.817422409,-0.460734592,0.327591984,20728.08262,0.503083906,-0.040065112,0.385160612,-0.7395854,-0.536633551,0.332203239,-0.062458925,0.091146827,-0.182465076,-0.190225345,-0.028585322,-0.24053429,-0.951388697,-0.037119932,-0.375707984,-0.925994396,24.12712479,-11.3940506,-31.97246361,2,20724.34949
135.519,13.5519,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.10203,-0.173019409,-0.155136108,-0.906463623,20728.08262,-0.817422409,-0.460734592,0.327591984,20728.08262,0.503083906,-0.040065112,0.385160612,-0.7395854,-0.536633551,0.332203239,-0.062458925,0.091146827,-0.182465076,-0.190225345,-0.028585322,-0.24053429,-0.951388697,-0.037119932,-0.375707984,-0.925994396,24.12712479,-11.3940506,-31.97246361,2,20724.34949
145.173,14.5173,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.11169,-0.244400024,-0.193984985,-0.830841064,20728.11259,-2.097759474,-1.479458956,0.100949518,20728.11259,0.508075998,-0.08309167,0.33480872,-2.01992774,-1.555359244,0.105561577,-0.094631828,0.173452407,0.034751002,-0.17142884,-0.002199875,-0.240888928,-0.955290447,-0.078387581,-0.328588516,-0.941214621,24.23130608,-11.51914215,-31.84861374,2,20724.34949
154.878,15.4878,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,22.63460732,-12.13837433,-31.26824188,280.2906799,266.8320007,10,20728.12139,-0.232299805,-0.204284668,-0.774078369,20728.11259,-2.097759474,-1.479458956,0.100949518,20728.11259,0.508075998,-0.08309167,0.33480872,-2.01992774,-1.555359244,0.105561577,-0.094631828,0.173452407,0.034751002,-0.17142884,-0.002199875,-0.240888928,-0.955290447,-0.078387581,-0.328588516,-0.941214621,24.23130608,-11.51914215,-31.84861374,2,20724.34949
164.558,16.4558,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.90120888,-11.26528168,-31.97212982,281.3079529,267.8492737,10,20728.13107,-0.204437256,-0.178268433,-0.738586426,20728.11259,-2.097759474,-1.479458956,0.100949518,20728.11259,0.508075998,-0.08309167,0.33480872,-2.01992774,-1.555359244,0.105561577,-0.094631828,0.173452407,0.034751002,-0.17142884,-0.002199875,-0.240888928,-0.955290447,-0.078387581,-0.328588516,-0.941214621,24.23130608,-11.51914215,-31.84861374,2,20724.34949
174.227,17.4227,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.90120888,-11.26528168,-31.97212982,281.3079529,267.8492737,10,20728.14074,-0.201705933,-0.154785156,-0.709609985,20728.12256,-2.233016632,-1.36386871,-0.011017231,20728.12256,0.506225789,-0.097282189,0.31359816,-2.155185461,-1.439768553,-0.0064052,-0.112045437,0.13021487,0.208145738,-0.163029475,0.007436726,-0.239703489,-0.957030994,-0.092391819,-0.308483303,-0.946732163,22.80171204,-10.07188416,-33.35895538,2,20724.34949
183.919,18.3919,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.90120888,-11.26528168,-31.97212982,281.3079529,267.8492737,10,20728.15043,-0.194992065,-0.131973267,-0.708465576,20728.14257,-2.240368554,-0.896568361,-0.105599664,20728.14257,0.499875684,-0.118638416,0.270519372,-2.162537336,-0.972468019,-0.100987643,-0.087650128,0.1124468,0.247248605,-0.144957506,0.023622618,-0.236907548,-0.960366653,-0.114055805,-0.267231941,-0.956858575,22.07798386,-8.986063957,-34.14665985,2,20724.34949
