time(ms),time (ds),time_raw,x_accel,y_accel,z_accel,g_measured
2451.809,245.1809,5332.427026,-0.08905,-0.970932,0.104813,0.980625
2481.348,248.1348,5332.456565,-0.124573,-0.998184,0.105057,1.011399
2510.888,251.0888,5332.486105,-0.111954,-0.994736,0.095062,1.00552
2540.428,254.0428,5332.515645,-0.210999,-0.943787,0.073654,0.969886
2569.97,256.997,5332.545187,-0.109344,-0.977646,0.075043,0.9866
2599.51,259.951,5332.574727,-0.233231,-0.970306,0.106049,1.003562
2629.049,262.9049,5332.604266,-0.201645,-0.967499,0.1129,0.994716
2658.591,265.8591,5332.633808,-0.091507,-0.987823,0.146423,1.0028
2688.129,268.8129,5332.663346,-0.086441,-0.983795,0.218857,1.011545
2717.671,271.7671,5332.692888,-0.004044,-1.020172,0.173264,1.034789
2747.209,274.7209,5332.722426,-0.06308,-0.975327,0.127487,0.985644
2776.749,277.6749,5332.751966,-0.077408,-0.987869,0.068466,0.99326
2806.29,280.629,5332.781507,-0.067047,-0.995819,0.079208,1.001212
2835.831,283.5831,5332.811048,-0.17276,-0.947601,0.111298,0.96963
2865.37,286.537,5332.840587,-0.129013,-0.950562,0.105042,0.965011
2894.91,289.491,5332.870127,-0.131531,-0.964584,0.11174,0.979903
2924.45,292.445,5332.899667,-0.148666,-0.959595,0.123138,0.978819
2953.99,295.399,5332.929207,-0.138733,-0.971527,0.128311,0.989735
2983.534,298.3534,5332.958751,-0.095779,-0.972382,0.134094,0.986246
3013.074,301.3074,5332.988291,-0.031418,-0.996872,0.159805,1.010088
3042.615,304.2615,5333.017832,-0.120224,-0.997269,0.152374,1.015981
3072.155,307.2155,5333.047372,-0.153091,-0.950012,0.088989,0.966374
3101.697,310.1697,5333.076914,-0.175781,-0.951218,0.107681,0.973298
3131.241,313.1241,5333.106458,-0.155716,-0.977112,0.138718,0.999118
3160.785,316.0785,5333.136002,-0.053909,-0.972809,0.13356,0.983413
3190.33,319.033,5333.165547,-0.095871,-0.99617,0.184479,1.017634
3219.875,321.9875,5333.195092,-0.125565,-0.999161,0.143372,1.017175
3249.418,324.9418,5333.224635,-0.101028,-0.958527,0.088959,0.967933
3278.96,327.896,5333.254177,-0.160583,-0.954453,0.102859,0.973317
3308.502,330.8502,5333.283719,-0.169693,-0.966736,0.11351,0.988058
3338.048,333.8048,5333.313265,-0.140671,-0.962753,0.087738,0.976924
3367.591,336.7591,5333.342808,-0.123978,-0.999268,0.107239,1.012623
3397.134,339.7134,5333.372351,-0.125778,-0.979691,0.143295,0.998072
3426.678,342.6678,5333.401895,-0.183868,-0.977463,0.179886,1.010742
3456.221,345.6221,5333.431438,-0.07933,-0.998886,0.104568,1.007473
3485.763,348.5763,5333.46098,-0.123306,-0.999115,0.133301,1.015482
3515.309,351.5309,5333.490526,-0.118225,-0.980347,0.062164,0.989404
3544.852,354.4852,5333.520069,0.006149,-1.018021,0.061462,1.019893
3574.39,357.439,5333.549607,-0.03035,-0.970337,0.090775,0.975046
3603.936,360.3936,5333.579153,-0.133957,-0.982162,0.124649,0.999062
3633.479,363.3479,5333.608696,-0.047531,-1.004517,0.03363,1.006203
3663.02,366.302,5333.638237,0.169754,-1.021179,-0.043732,1.036116
3692.56,369.256,5333.667777,0.16568,-1.057953,-0.095108,1.075063
3722.101,372.2101,5333.697318,-0.123383,-1.080582,0.098389,1.092044
3751.639,375.1639,5333.726856,-0.262451,-0.968063,0.202271,1.023201
3781.187,378.1187,5333.756404,-0.060028,-1.176514,-0.296387,1.214756
3810.728,381.0728,5333.785945,0.260254,-1.030746,-0.015335,1.063205
3840.273,384.0273,5333.81549,0.260178,-0.867737,0.321457,0.961246
3869.815,386.9815,5333.845032,0.207779,-0.861176,0.302551,0.936126
3899.356,389.9356,5333.874573,0.016159,-0.803299,0.378891,0.888318
3928.895,392.8895,5333.904112,0.514221,-0.994293,0.356812,1.174886
3958.44,395.844,5333.933657,0.479355,-1.213928,0.579422,1.427982
3987.985,398.7985,5333.963202,0.270676,-1.150116,0.677429,1.361963
4017.528,401.7528,5333.992745,0.133774,-0.876205,0.567261,1.052338
4047.07,404.707,5334.022287,0.157547,-0.669785,0.494858,0.847536
4076.611,407.6611,5334.051828,0.225128,-0.658447,0.360077,0.783512
4106.151,410.6151,5334.081368,0.460587,-0.605911,0.321198,0.826097
4135.696,413.5696,5334.110913,0.348083,-0.558716,0.295776,0.721671
4165.239,416.5239,5334.140456,0.200378,-0.598648,0.322601,0.708945
4194.782,419.4782,5334.169999,0.104889,-0.846451,0.3526,0.922934
4224.297,422.4297,5334.199514,0.341064,-0.761703,0.701721,1.090381
4253.872,425.3872,5334.229089,0.145874,-1.008453,0.517349,1.142763
4283.415,428.3415,5334.258632,0.104431,-1.134415,0.335571,1.187607
4312.954,431.2954,5334.288171,0.115677,-1.124054,0.133118,1.137804
4342.494,434.2494,5334.317711,0.090576,-1.044479,0.003128,1.048404
4372.035,437.2035,5334.347252,0.207932,-1.072037,0.059494,1.093635
4401.577,440.1577,5334.376794,0.142166,-1.105316,0.067261,1.116449
4431.118,443.1118,5334.406335,-0.000961,-1.173203,0.168396,1.185227
4460.661,446.0661,5334.435878,-0.04541,-1.1465,0.240112,1.172253
4490.201,449.0201,5334.465418,-0.012299,-1.102127,0.272919,1.135482
4519.744,451.9744,5334.494961,-0.023941,-0.997452,0.256409,1.03016
4549.286,454.9286,5334.524503,-0.001892,-0.955566,0.189178,0.974115
4578.83,457.883,5334.554047,-0.01062,-0.980652,0.17804,0.996739
4608.372,460.8372,5334.583589,-0.076172,-0.963318,0.128052,0.974772
4637.91,463.791,5334.613127,-0.123199,-0.963272,0.126709,0.97935
4667.45,466.745,5334.642667,-0.060608,-0.96524,0.137253,0.976832
4696.992,469.6992,5334.672209,-0.071609,-0.995331,0.19191,1.016189
4726.533,472.6533,5334.70175,-0.105255,-0.95546,0.146179,0.972291
4756.072,475.6072,5334.731289,-0.084015,-0.954544,0.095779,0.963009
4785.613,478.5613,5334.76083,-0.069412,-0.994003,0.143173,1.006657
4815.151,481.5151,5334.790368,-0.10173,-0.996231,0.081375,1.004713
4844.69,484.469,5334.819907,-0.210312,-0.95134,0.070877,0.976884
4874.229,487.4229,5334.849446,-0.358093,-0.932571,0.036438,0.999624
