time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
2127.175,212.7175,-0.167389,-1.013809,-0.081894,1.030793,3721.359571
2156.717,215.6717,-0.201874,-0.915588,-0.088013,0.941701,3721.389113
2186.254,218.6254,-0.214386,-0.966766,-0.099014,0.99519,3721.41865
2215.8,221.58,-0.249496,-0.925766,-0.134933,0.968245,3721.448196
2245.342,224.5342,-0.220627,-0.980896,-0.136108,1.014573,3721.477738
2274.887,227.4887,-0.154984,-0.965393,-0.067657,0.980092,3721.507283
2304.431,230.4431,-0.16861,-0.973984,-0.086472,0.992245,3721.536827
2333.977,233.3977,-0.149124,-0.982391,-0.045074,0.994667,3721.566373
2363.492,236.3492,-0.110229,-1.008865,0.004837,1.014881,3721.595888
2393.063,239.3063,-0.162659,-0.970062,-0.004669,0.983616,3721.625459
2422.605,242.2605,-0.093399,-0.990219,0.031204,0.995104,3721.655001
2452.144,245.2144,-0.178604,-0.932693,0.005463,0.949656,3721.68454
2481.684,248.1684,-0.174377,-0.997742,-0.021683,1.013097,3721.71408
2511.226,251.1226,-0.146149,-0.9272,-0.069611,0.941226,3721.743622
2540.769,254.0769,-0.138306,-0.97081,-0.021347,0.980845,3721.773165
2570.252,257.0252,0.00618,-0.939575,0.1017,0.945083,3721.802648
2599.794,259.9794,-0.005615,-1.063019,0.092026,1.067009,3721.83219
2629.336,262.9336,-0.048233,-0.991867,0.162216,1.006201,3721.861732
2658.877,265.8877,-0.032608,-0.960678,0.174805,0.976997,3721.891273
2688.415,268.8415,-0.070526,-1.095123,0.190475,1.1138,3721.920811
2717.955,271.7955,-0.06572,-0.995926,0.08902,1.002054,3721.950351
2747.494,274.7494,-0.132996,-0.993973,0.106659,1.008487,3721.97989
2777.036,277.7036,-0.197525,-0.972839,0.131973,1.001424,3722.009432
2806.578,280.6578,-0.210617,-0.974518,0.0336,0.997584,3722.038974
2836.122,283.6122,-0.166016,-0.94249,-0.011353,0.957067,3722.068518
2865.664,286.5664,-0.14238,-0.974731,0.034744,0.985688,3722.09806
2895.205,289.5205,-0.123184,-0.991959,0.08728,1.003381,3722.127601
2924.747,292.4747,-0.123215,-0.990448,0.021973,0.998325,3722.157143
2954.293,295.4293,-0.113495,-0.957382,0.065979,0.966341,3722.186689
2983.836,298.3836,-0.135971,-0.986771,0.091599,1.000297,3722.216232
3013.381,301.3381,-0.124496,-1.008484,0.091385,1.02024,3722.245777
3042.928,304.2928,-0.008301,-0.999146,0.107544,1.004951,3722.275324
3072.472,307.2472,0.107773,-1.043396,0.049423,1.050111,3722.304868
3102.017,310.2017,-0.024216,-1.000473,0.059814,1.002552,3722.334413
3131.559,313.1559,-0.398285,-0.886856,0.126602,0.980394,3722.363955
3161.103,316.1103,-0.267059,-1.069458,-0.015015,1.1024,3722.393499
3190.645,319.0645,0.322098,-1.006668,-0.050034,1.058126,3722.423041
3220.189,322.0189,-0.151962,-0.78894,0.295013,0.855893,3722.452585
3249.733,324.9733,-0.809708,-1.268051,0.375473,1.550664,3722.482129
3279.276,327.9276,0.219238,-0.94928,0.37149,1.04269,3722.511672
3308.821,330.8821,1.740891,-0.66188,-0.751999,2.008554,3722.541217
3338.364,333.8364,-1.438293,-1.537949,0.69368,2.217017,3722.57076
3367.905,336.7905,-0.684662,-2.36763,-2.446289,3.472573,3722.600301
3397.448,339.7448,0.076187,-0.743195,0.206604,0.775131,3722.629844
3426.994,342.6994,-0.041992,-0.809052,0.159271,0.825648,3722.65939
3456.538,345.6538,-0.184097,-0.901627,0.116165,0.927533,3722.688934
3486.084,348.6084,0.01622,-0.924713,0.125992,0.933398,3722.71848
3515.628,351.5628,0.031296,-0.625488,0.139679,0.641658,3722.748024
3545.172,354.5172,0.068451,-0.64296,0.087418,0.652476,3722.777568
3574.716,357.4716,0.075531,-0.930344,0.225235,0.960195,3722.807112
3604.261,360.4261,0.090317,-1.180557,0.443161,1.264225,3722.836657
3633.805,363.3805,0.146317,-1.81842,0.426575,1.873507,3722.866201
3663.351,366.3351,0.307724,-1.549164,0.496323,1.655578,3722.895747
3692.896,369.2896,0.277008,-1.14653,0.447586,1.261586,3722.925292
3722.441,372.2441,0.273346,-0.791428,0.442978,0.947262,3722.954837
3751.986,375.1986,0.241974,-0.643112,0.358398,0.77498,3722.984382
3781.53,378.153,0.344086,-0.542999,0.246948,0.688641,3723.013926
3811.072,381.1072,0.414139,-0.416504,0.252319,0.639259,3723.043468
