time (ms),time (ds),accelerometerTimestamp_sinceReboot,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
96.815,9.6815,20029.81877,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,26.20020676,-8.559669495,-32.95574188,278.6104736,265.1517944,10,20029.81877,0.0131073,-0.157562256,-1.027099609,20029.81214,0.950097366,-1.150228063,-0.849867701,20029.81214,1.520834009,-0.017797196,0.162012121,1.026523232,-1.22819519,-0.845424354,-0.032928124,-0.00321596,-0.114692003,-0.064739275,-0.049341804,-0.68641464,-0.722640404,-0.017563209,-0.16130431,-0.986748397,22.907547,-5.835270882,-29.61293411,2
106.494,10.6494,20029.82845,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,26.20020676,-8.559669495,-32.95574188,278.6104736,265.1517944,10,20029.82845,0.001342773,-0.180496216,-0.959976196,20029.81214,0.950097366,-1.150228063,-0.849867701,20029.81214,1.520834009,-0.017797196,0.162012121,1.026523232,-1.22819519,-0.845424354,-0.032928124,-0.00321596,-0.114692003,-0.064739275,-0.049341804,-0.68641464,-0.722640404,-0.017563209,-0.16130431,-0.986748397,22.907547,-5.835270882,-29.61293411,2
116.156,11.6156,20029.83812,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,26.20020676,-8.559669495,-32.95574188,278.6104736,265.1517944,10,20029.83812,-0.049194336,-0.188827515,-0.880325317,20029.83212,0.972632503,-0.979667509,-0.984808475,20029.83212,1.502604869,-0.038205354,0.184264495,1.049058199,-1.057634354,-0.980365038,0.038892224,0.002727313,0.0223777,-0.080206035,-0.048888075,-0.678287868,-0.728767807,-0.037549451,-0.183223531,-0.982353926,22.907547,-5.835270882,-29.61293411,2
125.852,12.5852,20029.84781,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,25.29218292,-8.769218445,-33.49202728,280.0692444,266.6105652,10,20029.84781,-0.079544067,-0.151260376,-0.840606689,20029.84211,0.781295564,-0.643064454,-0.984576248,20029.84211,1.492976243,-0.044492011,0.19377858,0.857721031,-0.72103101,-0.980132818,-0.005549458,0.003740605,0.099987209,-0.086029907,-0.049422599,-0.674133218,-0.731915751,-0.043644879,-0.192568123,-0.980312526,22.01073837,-6.176659584,-30.21767807,2
135.53,13.553,20029.85749,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,25.29218292,-8.769218445,-33.49202728,280.0692444,266.6105652,10,20029.85749,-0.085708618,-0.122055054,-0.850204468,20029.84211,0.781295564,-0.643064454,-0.984576248,20029.84211,1.492976243,-0.044492011,0.19377858,0.857721031,-0.72103101,-0.980132818,-0.005549458,0.003740605,0.099987209,-0.086029907,-0.049422599,-0.674133218,-0.731915751,-0.043644879,-0.192568123,-0.980312526,22.01073837,-6.176659584,-30.21767807,2
145.19,14.519,20029.86715,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,25.29218292,-8.769218445,-33.49202728,280.0692444,266.6105652,10,20029.86715,-0.080169678,-0.140258789,-0.867645264,20029.86209,0.151664361,-0.096113484,-0.7098821,20029.86209,1.476293565,-0.048067175,0.204180969,0.228089631,-0.174079835,-0.705438673,-0.038658049,0.080710158,0.127891898,-0.091452056,-0.050875686,-0.667409556,-0.737300936,-0.047050569,-0.202765211,-0.978096366,22.01073837,-6.176659584,-30.21767807,2
154.887,15.4887,20029.87685,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.76831818,-8.664451599,-33.65961456,281.9385986,268.4799194,10,20029.87685,-0.043029785,-0.175308228,-0.896362305,20029.87208,-0.192671183,0.034827223,-0.441580871,20029.87208,1.471123318,-0.047749601,0.204095493,-0.116246141,-0.043138899,-0.437137485,-0.0334289,0.062422719,0.110483311,-0.091446151,-0.05072785,-0.665519522,-0.739018303,-0.046740778,-0.202681512,-0.978128552,21.72214699,-6.163452625,-30.42847633,2
164.566,16.4566,20029.88653,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.76831818,-8.664451599,-33.65961456,281.9385986,268.4799194,10,20029.88653,-0.025527954,-0.203170776,-0.95803833,20029.87208,-0.192671183,0.034827223,-0.441580871,20029.87208,1.471123318,-0.047749601,0.204095493,-0.116246141,-0.043138899,-0.437137485,-0.0334289,0.062422719,0.110483311,-0.091446151,-0.05072785,-0.665519522,-0.739018303,-0.046740778,-0.202681512,-0.978128552,21.72214699,-6.163452625,-30.42847633,2
174.231,17.4231,20029.89619,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.06983948,-8.454902649,-34.19589996,282.2914429,268.8327637,10,20029.89619,-0.020278931,-0.217910767,-0.994003296,20029.89207,-0.524649393,0.120945064,-0.076583458,20029.89207,1.467213679,-0.046412282,0.196766945,-0.448224574,0.042979177,-0.072140113,0.019972406,-0.007671088,0.021609357,-0.088399471,-0.048597227,-0.664442899,-0.740499478,-0.04550036,-0.195499688,-0.979647696,21.72214699,-6.163452625,-30.42847633,2
183.925,18.3925,20029.90588,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.06983948,-8.454902649,-34.19589996,282.2914429,268.8327637,10,20029.90588,-0.03062439,-0.217651367,-1.005355835,20029.90206,-0.457594459,0.153602876,-0.104029197,20029.90206,1.466172652,-0.045554861,0.192757541,-0.381169885,0.075637214,-0.099585854,0.024416778,-0.026344676,-0.013541809,-0.086660752,-0.047530735,-0.664259379,-0.740938742,-0.044695709,-0.191566095,-0.980461478,21.76829147,-5.739462852,-30.47838593,2
