time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
2127.397,212.7397,2.064346,2.13295,0.588547,3.026118,4008.37107
2156.944,215.6944,0.502197,-1.766556,-0.990433,2.086595,4008.400617
2186.493,218.6493,0.647873,-0.151215,1.267838,1.431788,4008.430166
2216.039,221.6039,0.439026,0.379028,1.021988,1.175102,4008.459712
2245.588,224.5588,0.716019,0.049103,0.933853,1.177784,4008.489261
2275.135,227.5135,0.805725,-1.381363,0.991806,1.881764,4008.518808
2304.68,230.468,0.71286,-1.369507,0.699402,1.694958,4008.548353
2334.225,233.4225,0.620819,-1.009247,0.730896,1.392194,4008.577898
2363.768,236.3768,0.445923,-0.630737,0.477768,0.908261,4008.607441
2393.315,239.3315,0.362869,-0.365479,0.419678,0.664363,4008.636988
2422.862,242.2862,0.544128,-0.197433,0.471924,0.746839,4008.666535
2452.407,245.2407,0.679031,-0.271637,0.623123,0.960808,4008.69608
2481.953,248.1953,0.519608,-0.713013,0.835556,1.215127,4008.725626
2511.5,251.15,0.342911,-1.233658,1.030136,1.643375,4008.755173
2541.046,254.1046,0.028641,-1.257538,0.955704,1.579744,4008.784719
2570.593,257.0593,-0.475449,-3.007172,0.796738,3.14705,4008.814266
2600.138,260.0138,0.16777,-1.228516,0.278259,1.270758,4008.843811
2629.686,262.9686,-0.017426,-0.829956,-0.474701,0.95628,4008.873359
2659.231,265.9231,-0.355209,-0.451065,-0.361542,0.678488,4008.902904
2688.776,268.8776,-0.526596,-0.323898,-0.364319,0.717594,4008.932449
2718.315,271.8315,-0.238831,-0.697205,-0.190979,0.761319,4008.961988
2747.862,274.7862,-0.332565,-0.952972,-0.121262,1.016593,4008.991535
2777.406,277.7406,-0.136368,-1.351532,-0.10582,1.36251,4009.021079
2806.949,280.6949,-0.032043,-1.862762,0.041824,1.863507,4009.050622
2836.495,283.6495,0.338531,-1.739471,0.585342,1.866277,4009.080168
2866.04,286.604,0.37146,-1.182007,1.076202,1.641138,4009.109713
2895.566,289.5566,0.60318,-0.910202,0.997086,1.478673,4009.139239
2925.13,292.513,0.294617,-1.729233,1.331787,2.202431,4009.168803
2954.672,295.4672,0.266373,-0.867752,1.564392,1.808665,4009.198345
2984.218,298.4218,3.465744,2.981903,1.720398,4.884966,4009.227891
3013.764,301.3764,-3.727737,-7.659622,-0.546951,8.536099,4009.257437
3043.308,304.3308,1.105118,-0.111481,0.422668,1.188428,4009.286981
3072.848,307.2848,1.182953,0.23584,0.902435,1.506449,4009.316521
3102.404,310.2404,1.171036,-0.246384,1.227249,1.714109,4009.346077
3131.95,313.195,0.955002,-1.089386,1.100861,1.819529,4009.375623
3161.498,316.1498,0.495331,-1.034988,0.743439,1.367207,4009.405171
3191.045,319.1045,0.292282,-0.59436,0.805588,1.042912,4009.434718
3220.59,322.059,0.349884,-0.258331,0.721848,0.842744,4009.464263
3250.136,325.0136,0.643036,-0.203171,0.594986,0.899323,4009.493809
3279.68,327.968,0.640076,-0.473679,0.81366,1.138468,4009.523353
3309.225,330.9225,0.448471,-0.677795,1.081833,1.353106,4009.552898
3338.772,333.8772,-0.149338,-0.885162,1.047668,1.379646,4009.582445
3368.32,336.832,0.039154,-1.605453,0.979904,1.881283,4009.611993
3397.867,339.7867,0.245132,-1.456055,1.088104,1.834164,4009.64154
3427.413,342.7413,0.361099,-0.920746,-0.262283,1.02321,4009.671086
3456.961,345.6961,0.023666,-0.957504,-0.509354,1.084811,4009.700634
3486.508,348.6508,-0.596512,-0.527954,-0.533844,0.958932,4009.730181
3516.056,351.6056,-0.629364,-0.058273,-0.591843,0.865894,4009.759729
3545.604,354.5604,-0.706451,-0.957657,-0.481369,1.283704,4009.789277
