time(ms), Accel (x), Accel (y), Accel (z)
1478281935635, -1.1639795, 14.559324, -2.3974147#
1478281935741, -2.7614577, 11.884088, 0.5987549#
1478281935844, 10.739268, 3.2069314, -5.269043#
1478281935948, -0.76161623, 5.9468336, 1.1663746#
1478281936054, 6.70845, 10.91171, -4.4619217#
1478281936158, 6.262976, 14.940132, -3.6380348#
1478281936264, 4.382886, 10.564431, -4.3230104#
1478281936370, 2.548301, 10.229129, 5.3145485#
1478281936474, -2.7590625, 10.020762, 0.06227051#
1478281936577, 1.21188, 9.905801, -2.7111623#
1478281936682, -0.045505375, 10.487791, -1.8441651#
1478281936787, -2.047742, 10.490186, -1.5376027#
1478281936892, -0.91010743, 11.074571, -1.9734962#
1478281936997, -3.300337, 16.99985, -4.3637257#
1478281937102, 4.5625124, 7.053333, -0.06945557#
1478281937207, 0.50534916, 2.8548634, 2.311194#
1478281937312, 8.011341, 9.960887, -3.0776002#
1478281937415, -3.915857, 14.722186, -1.3220508#
1478281937519, 4.373306, 11.191927, -3.906277#
1478281937623, -5.5780005, 21.040247, 0.011975098#
1478281937725, 3.8056862, 10.308165, -2.308799#
1478281937828, 1.0130934, 10.202784, -3.4943337#
1478281937934, 0.4382886, 10.370435, -2.0166066#
1478281938039, 0.9316626, 10.655442, -1.7387843#
1478281938143, -0.7376661, 10.195599, -2.9794044#
1478281938249, -2.3950195, 14.00368, -2.179468#
1478281938353, 1.1448194, 14.398858, -2.818938#
1478281938456, 3.187771, 2.8476784, -1.0202783#
1478281938561, 6.8497562, 6.710845, -1.6765138#
1478281938663, 1.0178833, 13.855188, -1.101709#
1478281938767, 3.3314724, 12.700789, -2.6321266#
1478281938870, 0.8669971, 9.09868, -11.805052#
1478281938974, 4.888235, 8.988508, 3.4440382#
1478281939077, -1.331631, 10.37283, -0.7089258#
1478281939181, -0.5460645, 10.332115, -2.42855#
1478281939285, 0.79993653, 10.439891, -2.2920337#
1478281939390, -1.3867164, 10.588382, -2.3495142#
1478281939494, 0.8382569, 12.147539, -2.9410841#
1478281939598, -4.4906616, 16.647781, -6.006709#
1478281939701, 12.971426, 6.09293, 0.70174074#
1478281939804, 7.1611085, 4.258345, -5.024751#
1478281939908, 5.254673, 8.229287, -0.32332766#
1478281940011, 3.4967287, 13.955779, -3.9374123#
1478281940116, 2.5075855, 10.835069, -2.799778#
1478281940221, -20.484602, 23.583757, -2.2177882#
1478281940326, -1.3819263, 10.985955, -3.9637575#
1478281940431, -2.0285816, 10.298584, -1.2166699#
1478281940534, -0.9053174, 10.609937, -2.1291726#
1478281940638, -0.26105714, 10.542876, -2.2489235#
1478281940740, -1.3483961, 10.629097, -2.7854078#
1478281940844, -0.46702883, 14.880257, -4.493057#
1478281940949, -4.0882983, 11.850557, 2.7159522#
1478281941053, 3.2021413, 4.2176294, -1.1448194#
1478281941159, 1.6166383, 7.199429, 1.5352076#
1478281941263, 4.164939, 14.463524, -3.0608351#
1478281941368, 2.7638526, 13.32589, -3.9901028#
1478281941473, -12.77743, 13.333075, -14.60962#
1478281941578, 1.3675562, 9.78605, -0.5125342#
1478281941682, -2.4045997, 10.209969, 0.05748047#
1478281941789, -1.0394385, 10.540482, -1.1975098#
1478281941894, -0.1101709, 10.427916, -2.095642#
1478281942000, -0.7376661, 11.208692, -1.8824854#
1478281942103, -0.28261232, 14.3749075, -5.0894165#
1478281942207, -5.319339, 12.121195, 1.5040723#
1478281942310, 11.096126, 4.1984696, -4.655918#
1478281942415, -2.1195924, 3.4775686, 2.4956105#
1478281942518, 7.647298, 8.047266, -3.0536501#
1478281942624, -0.5748047, 15.055094, -1.4729371#
1478281942727, 5.4031644, 11.211087, -5.865403#
1478281942830, 4.368516, 8.830438, 6.3779373#
1478281942936, 4.3397756, 10.181229, -2.9937747#
1478281943040, 4.2751102, 10.585987, -3.8320315#
1478281943146, 0.9508228, 10.35367, -1.8824854#
1478281943251, -0.26105714, 11.074571, -2.0812721#
1478281943358, 0.30177248, 13.1366825, -2.5818312#
1478281943463, -9.924961, 17.339943, -6.7850904#
1478281943567, 9.72378, 8.53585, -1.3986914#
1478281943671, 6.1695704, 0.038320314, -1.6381935#
1478281943773, 1.6094532, 1.331631, -1.5208374#
1478281943878, 3.0943654, 15.998732, -5.0894165#
1478281943981, 2.074087, 13.380975, -2.9338992#
1478281944085, 3.417693, 7.173084, -1.2310401#
1478281944188, 1.1663746, 10.471025, -2.1243825#
1478281944295, 1.4322218, 10.303374, -2.4453151#
1478281944401, 0.30416748, 10.3512745, -2.1219873#
