time (ms),  accel x,  accel y,  accel z,  magneto x,  magneto y,  magneto z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1477622572118, -11.09114, 3.2842462, -0.017956512, 23.075, 195.62, 73.915, 0.30787608, 0.27855456, -4.969694, -1.6139421, 5.0174303, -1.8480326, 338.96115, 10.179676, -79.07053
1477622572233, -11.7782755, 9.09617, 0.079008654, 20.855, 204.31, 75.205, -0.4569272, -0.17959438, 1.0253373, -3.2348833, 4.3187366, -0.5184645, 328.6256, -29.15426, -85.999596
1477622572335, -19.60911, 5.125387, -0.28550854, 22.129, 181.689, 77.828, -2.673757, -0.76174897, 7.3832226, -13.809532, -2.7505627, -0.99593294, 298.23648, -53.429405, -36.366646
1477622572445, -10.505757, -1.5191209, 1.846528, 5.14, 148.095, 73.539, -0.8426886, 0.6914995, 5.917452, -0.9733372, -3.6790009, 1.0476105, 332.568, -12.72351, -85.209206
1477622572548, -13.171103, -8.572439, -0.60932434, -14.631, 140.663, 79.206, 0.7654142, 1.3839152, 3.598607, -3.4971466, -6.976166, -0.41732, 334.35297, 170.63202, -88.86297
1477622572653, -3.843891, -6.1369376, 3.7403417, -38.822, 140.657, 78.285, 0.1600467, -1.1435398, 4.1157045, 4.6917458, -1.6238985, 2.0240188, 339.11514, 27.400135, -78.63073
1477622572756, -13.758879, 19.608511, 3.7134068, -25.381, 141.506, 84.26, 2.6658158, -5.0674324, -5.459608, -5.4270983, 19.007605, -1.4237845, 340.47256, -3.5130236, -58.342937
1477622572860, 0.28790274, 4.63697, -5.1648917, -6.68, 153.129, 91.052, -3.3423493, -3.1483996, -0.7360926, 5.8153887, -2.5560718, -1.43965, 254.11356, -132.82054, -56.022057
1477622572962, 11.057022, 7.203554, -2.1230583, -4.063, 145.169, 72.088, 1.3762794, 0.40958515, -0.013744468, 6.8764453, -1.4680338, -0.25310433, 105.4986, -117.839905, 25.738739
1477622573065, -6.9862804, 19.608511, -18.022354, -18.02, 148.347, 89.979, -0.043066, 5.0002375, 3.232088, -13.979214, 13.425554, -15.015647, 75.82297, -140.914, 66.734055
1477622573174, -11.733384, 12.541427, -2.9400797, -47.882, 143.405, 81.845, -1.0204504, 4.425108, 4.4819183, -7.6210103, 4.313346, 0.45954585, 230.615, -122.962105, -26.555769
1477622573277, -8.915408, -9.254189, 0.09636662, -55.871, 146.429, 75.823, -1.0690142, 1.17897, 0.33078352, -0.14108562, -11.786689, 3.6696186, 285.85297, -165.03415, -67.841896
1477622573387, -6.621763, -5.4049106, 4.0581717, -46.511, 145.095, 68.737, 0.095294975, -0.5671884, -2.4468207, 0.82939005, 0.6203437, 1.9732225, 352.59106, 37.908695, -74.36755
1477622573504, -19.60911, 19.608511, -0.82480246, -23.724, 142.935, 80.976, 1.0482447, -7.252192, -4.4504585, -12.123948, 22.517918, -6.453131, 346.232, 17.258121, -53.059345
1477622573608, 2.5258827, 6.318897, -7.9810715, -8.918, 148.617, 86.358, 0.79473567, -2.6887233, -0.27977628, 7.4133177, -1.3040018, -4.2161245, 247.57701, -128.9842, -52.391796
1477622573712, 11.244369, 2.2930467, -2.0272903, -4.809, 145.228, 75.541, -0.94134337, -0.3567453, -0.065973446, 6.8270335, -5.3742695, 2.1999755, 113.06953, -128.56985, 46.259556
1477622573814, 3.457826, 19.608511, -9.350554, -17.784, 144.604, 84.078, 0.96974856, 4.234823, 2.7052166, -2.905831, 13.2521925, -5.442682, 87.3168, -139.59668, 58.446236
1477622573918, -17.326838, 19.020138, -6.7983356, -43.264, 143.957, 82.647, -2.7937922, 3.1874948, 3.6664133, -26.415867, 15.338122, -6.7465982, 37.39712, -157.94719, 89.67386
1477622574024, -7.97748, -4.546589, 1.4377182, -52.162, 143.629, 66.557, -2.0317378, 1.9156734, 0.6426302, -0.7996297, -10.005127, 5.291706, 267.17566, -146.1779, -61.767403
1477622574126, -2.047641, -7.7207017, 3.3357215, -52.104, 144.009, 63.995, 1.3750577, 1.325883, -1.1459832, 6.596942, -3.1996012, 2.3351035, 347.09982, 27.453201, -83.39735
1477622574228, -6.187814, 17.793707, -4.1814733, -39.991, 141.743, 74.176, 3.3512068, -2.2736404, -3.477045, 3.042911, 18.373863, -7.4414635, 343.7939, 3.391574, -70.54845
1477622574330, -7.28376, 19.608511, -8.397662, -16.416, 142.115, 81.112, 3.3078353, -3.7406332, -2.2272146, -2.2018805, 22.191734, -16.377127, 353.97916, 15.272827, -32.49183
1477622574441, 8.786121, 3.0226796, -0.7032967, -7.475, 145.927, 79.512, -0.42271876, -1.2434162, -0.6401868, 9.9311495, -6.355157, 1.9264405, 195.43689, -107.00619, -6.961321
1477622574543, 3.8522706, 7.7350674, -10.07121, -12.443, 146.267, 82.978, 0.61666846, 1.0033462, 2.3301454, -2.1867661, 1.8666463, -5.0450726, 97.66611, -143.24373, 50.230247
1477622574645, -19.60911, 19.608511, -3.4662056, -35.632, 140.415, 81.994, -3.2491922, 3.2345314, 5.0802608, -27.99913, 14.905506, -1.5531677, 57.572456, -151.34248, 77.15538
1477622574756, -9.035119, -5.288193, -3.3871968, -61.37, 144.128, 78.955, 0.7849618, 4.4443502, 1.5961909, -2.41297, -11.61095, 0.12567925, 260.09564, -139.85367, -62.055225
1477622574860, -0.6039374, -11.702259, 7.9876556, -63.583, 144.941, 63.031, -2.518292, 2.2009475, 0.43676865, 8.097588, -7.3464627, 6.7707434, 344.58612, 26.370094, -82.038795
1477622574963, -9.618706, 9.545682, 0.5201403, -51.071, 139.051, 69.905, 2.6111436, -3.510948, -4.163352, -1.2864189, 12.815057, -3.4866762, 349.8162, 19.474268, -64.31811
1477622575065, -14.468161, 19.608511, 2.7060466, -26.451, 138.192, 75.505, 1.738217, -4.2916336, -3.2968397, -9.218924, 24.08936, -4.2608676, 356.68613, 27.188498, -36.99628
1477622575171, 1.2312182, 6.1219735, -0.06943185, -14.405, 143.263, 78.688, 1.6914859, -2.277611, -0.95081174, 5.6832237, -2.6111474, -0.3569453, 258.08105, -62.939983, -27.01176
1477622575276, 7.0485296, 3.008913, -2.0009542, -10.127, 144.671, 78.385, -0.037873644, -0.9963212, 0.68600166, 3.3931973, -5.888197, -0.090347886, 113.141464, -114.87158, 22.33506
1477622575379, -3.448249, 19.608511, -17.351377, -22.097, 144.033, 85.513, 2.047315, 2.9917126, 2.1746802, -9.647499, 12.40097, -14.944909, 79.79007, -132.69579, 68.78443
1477622575485, -9.837775, 8.483255, -2.6641479, -41.658, 142.585, 85.618, 1.1099422, 3.9849794, 3.503312, -4.8595247, 0.36195183, -0.33350658, 247.84308, -124.0916, -31.507742
1477622575588, -7.715315, -5.673061, 2.8700492, -54.002, 143.156, 77.696, -3.3615913, 2.5567765, 0.960891, 1.0733242, -9.8611355, 4.0491233, 303.88214, -154.71857, -82.35889
1477622575716, -6.3230867, -8.317456, 4.201824, -52.938, 141.914, 69.764, 1.3979651, -3.12763, -2.5454755, -0.5517497, -1.6022034, -0.013318539, 1.8193213, 43.217148, -53.857174
1477622575818, -19.60911, 19.608511, 16.27698, -20.628, 140.893, 78.617, 0.8741482, -9.326996, -6.1929517, -15.695465, 26.015423, 9.96784, 0.78648436, 40.792633, -31.811893
1477622575926, -0.97982705, 11.470022, -2.9071593, -4.685, 155.784, 84.638, -1.0430524, -2.427273, -1.3884968, 5.017604, 3.8121424, -1.658918, 275.0984, -128.65819, -78.24291
1477622576030, 6.8689647, 3.3153708, -1.9895816, 2.287, 159.951, 78.915, 0.4896085, -0.2941316, -0.95111716, 7.5107236, -6.173232, 0.40310383, 191.4422, -104.63202, -3.8692904
1477622576135, 5.843648, 18.910603, -3.2208, -2.828, 158.415, 83.969, 1.498147, 0.7996226, 2.0360138, -0.25312948, 11.412197, -1.5553737, 79.90145, -130.1264, 74.72154
1477622576238, -19.60911, 19.545065, -5.533, -15.187, 155.537, 92.553, 3.1279354, 2.5173757, 4.3084326, -27.825735, 14.69779, -3.2611358, 58.57377, -150.37743, 74.54409
1477622576344, -5.57849, -7.44896, 5.2139726, -32.492, 146.336, 88.911, -5.384777, 2.2391264, 2.6117544, 2.7064052, -12.670195, 5.7332196, 302.85733, -147.83104, -86.413734
1477622576446, -4.5777135, -10.767922, 2.9646204, -38.513, 138.32, 78.381, 1.0781772, -0.7556403, -0.7324274, 2.0812154, -5.074701, -1.4417713, 349.82455, 35.48903, -56.50633
1477622576549, -19.60911, 19.608511, -6.18542, -15.26, 146.618, 84.461, 2.8506026, -5.2018228, -6.732346, -12.760164, 24.991875, -10.688944, 349.6835, 33.295025, -56.673084
1477622576652, -5.2145715, 19.607914, -7.4627266, 5.821, 162.39, 76.383, 2.1270328, -2.2366831, -2.2171354, -4.12529, 25.676083, -15.089073, 359.71606, 38.227177, -8.128656
1477622576763, 6.075287, 5.7855883, -1.614889, 12.689, 170.396, 64.373, 0.56505036, -2.24157, -1.3521502, 7.787651, -3.6802778, 0.29182315, 219.6147, -105.14896, -10.253847
1477622576865, 5.2480903, 7.8027034, 0.19692309, 12.182, 169.737, 64.685, 1.1612549, 0.48166725, 1.2889256, -0.7701316, 0.32592058, 2.2091677, 79.93835, -130.32202, 71.51219
1477622576967, -19.60911, 19.608511, -8.654441, 6.806, 161.584, 71.348, 1.1520919, 1.4428637, 4.679228, -26.249855, 12.626781, -6.8306007, 73.7705, -134.60716, 74.642715
1477622577069, -5.6736593, -2.1571758, 2.4223335, -12.655, 143.452, 73.318, -5.5998015, 2.59465, 3.764457, 0.64431095, -9.182664, 5.0483866, 275.2134, -134.24191, -67.42988
1477622577171, -3.684078, -8.836999, 3.1531637, -18.487, 137.8, 65.452, 1.3402383, 0.9984592, 0.089186326, 5.9306164, -7.8009095, 1.5238819, 336.84473, 6.0647154, -80.38217
1477622577277, -12.601881, -3.335123, 6.616975, -5.47, 144.989, 73.413, 1.1459832, -2.0265455, -3.5185838, -5.0641527, 2.0385432, 3.3801932, 344.55597, 33.227272, -66.760796
