@ HyperIMU - ianovir - 2016
@ Date: Fri Nov 04 10:32:43 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms


,,,,,,,,,,,,,,,,37.353190,-122.034888,46.084045,0.000000,346.289062,1478280820.00
,,,,,,,,,,,,,,,,37.353190,-122.034888,46.084045,0.000000,346.289062,1478280812.00
1478277367.10,-0.171255,-0.669701,2.299126,-0.060927,-0.006765,-0.058258,-0.133610,0.620752,-0.772538,-0.039425,0.042975,0.055559,-1.415259,43.287224,7.772774,,,,,,
1478277367.13,-0.180531,-0.676335,2.293026,-0.051172,-0.039653,-0.024362,-0.140028,0.625939,-0.767198,-0.045534,0.041053,0.063508,-1.415259,43.287224,7.772774,,,,,,
,,,,,,,,,,,,,,,,37.353190,-122.034888,46.084045,0.000000,346.289062,1478280820.00
1478277367.15,-0.180656,-0.677177,2.293031,-0.030973,0.007222,0.010072,-0.140028,0.626596,-0.766661,-0.068056,0.025504,0.090590,-1.559499,43.262325,7.883015,,,,,,
1478277367.17,-0.190686,-0.687783,2.288878,-0.143543,-0.095841,0.132870,-0.146443,0.634826,-0.758650,-0.036540,0.039063,0.049269,-1.551013,43.257938,7.908712,,,,,,
1478277367.19,-0.191229,-0.691577,2.292907,-0.147771,-0.226980,0.229629,-0.146397,0.637753,-0.756201,-0.036587,0.036137,0.046820,-1.482770,43.234608,8.048149,,,,,,
1478277367.21,-0.195749,-0.696074,2.300065,-0.165725,-0.505574,0.325399,-0.149254,0.641210,-0.752711,-0.022972,0.030513,0.020579,-9.433777,40.840351,-12.338203,,,,,,
1478277367.23,-0.200989,-0.699257,2.306165,-0.066198,-0.440941,0.169422,-0.152787,0.643649,-0.749914,0.033906,0.122678,0.077292,-9.231318,40.980133,-12.023857,,,,,,
1478277367.25,-0.209022,-0.701657,2.308815,-0.138371,-0.427095,0.124794,-0.158485,0.645484,-0.747150,-0.010338,0.028908,0.069232,-9.231318,40.980133,-12.023857,,,,,,
1478277367.27,-0.213906,-0.708241,2.312033,-0.369854,-0.291184,0.196226,-0.161227,0.650499,-0.742197,-0.007596,0.023894,0.064280,-9.228466,41.057796,-11.758163,,,,,,
1478277367.29,-0.218560,-0.720439,2.313256,-0.669431,-0.232822,0.135368,-0.162947,0.659715,-0.733638,-0.048342,0.051528,0.053813,-9.163003,41.142456,-11.510834,,,,,,
1478277367.32,-0.224911,-0.739318,2.308627,-1.055728,-0.130018,-0.022853,-0.164795,0.673784,-0.720318,-0.061462,0.038939,0.035931,-9.066225,41.405952,-10.607182,,,,,,
1478277367.34,-0.236569,-0.764442,2.297357,-1.342451,-0.240571,-0.154244,-0.169160,0.692134,-0.701666,-0.047988,0.024311,0.026327,-9.066225,41.405952,-10.607182,,,,,,
1478277367.36,-0.255397,-0.791223,2.280413,-1.357161,-0.421060,-0.294267,-0.177593,0.711214,-0.680173,-0.026112,0.054167,0.040433,-9.405447,41.899761,-8.069012,,,,,,
1478277367.38,-0.281334,-0.815285,2.260433,-1.191687,-0.583560,-0.323544,-0.190365,0.727921,-0.658705,-0.012318,0.024444,0.042829,-9.405447,41.899761,-8.069012,,,,,,
1478277367.40,-0.305876,-0.834288,2.244141,-0.905695,-0.576034,-0.149318,-0.202270,0.740819,-0.640527,-0.036912,0.007488,0.074014,-9.954350,42.086987,-6.225595,,,,,,
1478277367.42,-0.323772,-0.850392,2.235441,-0.776090,-0.544900,0.021496,-0.209876,0.751539,-0.625412,-0.001885,0.022905,0.116349,-10.154087,42.143101,-5.478619,,,,,,
1478277367.44,-0.341313,-0.868899,2.227068,-0.981419,-0.592361,0.004657,-0.216121,0.763619,-0.608423,-0.057820,0.113823,0.048486,-10.228824,42.271606,-4.200497,,,,,,
1478277367.46,-0.371803,-0.890503,2.209626,-1.176539,-1.008018,-0.119341,-0.228521,0.777388,-0.586042,-0.045420,0.100053,0.026106,-10.228824,42.271606,-4.200497,,,,,,
1478277367.49,-0.404504,-0.916477,2.197373,-1.440649,-0.864077,0.253284,-0.239530,0.793463,-0.559502,-0.022601,0.007715,0.293297,-10.391844,42.413540,-1.504190,,,,,,
1478277367.51,-0.430054,-0.950088,2.179141,-1.710344,-0.510435,0.129710,-0.242486,0.813467,-0.528652,0.003319,0.063349,0.039654,-10.391844,42.413540,-1.504190,,,,,,
1478277367.53,-0.464386,-0.983773,2.157959,-1.509174,-1.112645,0.211606,-0.248071,0.832593,-0.495227,-0.006751,-0.042356,-0.141232,-10.152123,42.488651,0.900185,,,,,,
,,,,,,,,,,,,,,,,37.353209,-122.034926,46.084045,-1.000000,-1.000000,1478280828.78
1478277367.55,-0.495705,-1.015874,2.147060,-1.380174,-0.967518,0.531406,-0.250610,0.849942,-0.463459,0.018981,-0.074581,0.197010,-9.671885,42.479362,3.334634,,,,,,
1478277367.57,-0.512899,-1.041261,2.144819,-1.015396,-0.577392,0.565873,-0.247871,0.863042,-0.440135,-0.113320,-0.005299,0.096110,-9.267685,42.483372,4.293579,,,,,,
1478277367.59,-0.524369,-1.071314,2.138950,-1.526765,-0.223423,0.548111,-0.239805,0.877831,-0.414616,-0.053683,-0.052666,0.074559,-9.267685,42.483372,4.293579,,,,,,
,,,,,,,,,,,,,,,,37.353228,-122.034965,46.084045,-1.000000,-1.000000,1478280828.87
1478277367.61,-0.548977,-1.109860,2.115015,-2.002979,-0.178767,0.468294,-0.232097,0.895636,-0.379430,-0.013921,-0.218604,-0.014262,-8.086867,42.323795,7.242943,,,,,,
