time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
96.819,9.6819,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.06032,0.200485229,-0.526107788,-0.822555542,20946.04796,-0.556047263,0.514883048,0.081119887,20946.04796,0.167981511,0.29986256,0.544649801,-0.47820124,0.436390549,0.085421517,-0.028512372,0.026434634,-0.000270904,0.252947181,0.165669885,0.119928669,0.945615317,0.252648711,-0.51811862,-0.817142427,29.13909149,-8.835409164,-26.64945221,2
106.472,10.6472,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.06997,0.227981567,-0.509094238,-0.807998657,20946.05795,-0.578679871,0.548524099,0.049436526,20946.05795,0.1703993,0.303294876,0.540104871,-0.500833929,0.470031679,0.053738154,-0.055667356,-0.011881851,-0.004046203,0.250374306,0.167505334,0.121226964,0.94581113,0.25615257,-0.51422596,-0.81850934,29.13909149,-8.835409164,-26.64945221,2
116.177,11.6177,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.07968,0.235992432,-0.473175049,-0.775650024,20946.06793,-0.592754944,0.557815336,0.017506023,20946.06793,0.172857355,0.306249361,0.535488803,-0.514909148,0.479321867,0.021808237,-0.031301048,0.001167242,0.012004848,0.247788255,0.169113063,0.122472916,0.946045526,0.259282619,-0.510261476,-0.82000351,29.37211227,-8.609056473,-26.46710587,2
125.862,12.5862,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.08936,0.224578857,-0.499542236,-0.793045044,20946.08792,-0.588423046,0.627842091,0.037425935,20946.08792,0.176992296,0.314934766,0.525839518,-0.510577321,0.549348772,0.041728139,-0.031915076,0.028764235,0.046713959,0.242297662,0.173521901,0.124885126,0.946353897,0.2679075,-0.501939297,-0.822363973,29.37211227,-8.609056473,-26.46710587,2
135.529,13.5529,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.09903,0.267868042,-0.470230103,-0.774475098,20946.08792,-0.588423046,0.627842091,0.037425935,20946.08792,0.176992296,0.314934766,0.525839518,-0.510577321,0.549348772,0.041728139,-0.031915076,0.028764235,0.046713959,0.242297662,0.173521901,0.124885126,0.946353897,0.2679075,-0.501939297,-0.822363973,29.37211227,-8.609056473,-26.46710587,2
145.22,14.522,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.27017021,-9.554161072,-25.63722992,301.1471558,287.6884766,10,20946.10872,0.269851685,-0.451644897,-0.749557495,20946.09791,-0.573922933,0.555474151,0.131709295,20946.09791,0.180009467,0.318321862,0.521445624,-0.496077567,0.476981193,0.136011481,-0.003510985,0.027904056,0.049063478,0.239726477,0.175390789,0.126437858,0.946458005,0.271379024,-0.498134166,-0.823538601,29.37211227,-8.609056473,-26.46710587,2
154.888,15.4888,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.27017021,-9.554161072,-25.63722992,301.1471558,287.6884766,10,20946.11839,0.260925293,-0.431152344,-0.755691528,20946.10791,-0.583035737,0.570903707,0.21620607,20946.10791,0.184014035,0.321183462,0.517324369,-0.505190492,0.492410898,0.220508248,-0.004528631,0.0429115,0.075142093,0.237225586,0.177127714,0.128405933,0.946499715,0.274380326,-0.494556397,-0.824699581,29.87188911,-8.163785934,-26.04548645,2
164.586,16.4586,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.44479179,-9.658927917,-25.40259552,299.7832031,286.3245239,10,20946.12808,0.244750977,-0.444763184,-0.752792358,20946.1179,-0.623132557,0.591581289,0.296493186,20946.1179,0.189011219,0.323776918,0.513167812,-0.54528743,0.513088524,0.300795346,-0.016244534,0.059787139,0.070235409,0.234629886,0.178844475,0.130804211,0.946495498,0.277169824,-0.490939498,-0.82592696,29.87188911,-8.163785934,-26.04548645,2
174.253,17.4253,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.44479179,-9.658927917,-25.40259552,299.7832031,286.3245239,10,20946.13775,0.271026611,-0.436050415,-0.748458862,20946.12787,-0.710360138,0.619454465,0.350175057,20946.12787,0.194944862,0.326279321,0.508513558,-0.632515132,0.540961862,0.354477227,-0.03521413,0.04211624,0.074593864,0.231710418,0.180602242,0.133597007,0.946490862,0.279965103,-0.486879438,-0.8273862,29.87188911,-8.163785934,-26.04548645,2
183.951,18.3951,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.44479179,-9.658927917,-25.40259552,299.7832031,286.3245239,10,20946.14745,0.274368286,-0.437103271,-0.757400513,20946.14787,-0.992408072,0.661398454,0.313303325,20946.14787,0.208415127,0.330783946,0.495477585,-0.914563298,0.582906127,0.317605466,-0.014699936,0.039401442,0.083590336,0.223951436,0.183905286,0.139619695,0.946853178,0.285726547,-0.475451857,-0.832049191,30.20046234,-7.988798141,-25.71878242,2
193.615,19.3615,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.44479179,-9.658927917,-25.40259552,299.7832031,286.3245239,10,20946.15711,0.280654907,-0.460098267,-0.769454956,20946.14787,-0.992408072,0.661398454,0.313303325,20946.14787,0.208415127,0.330783946,0.495477585,-0.914563298,0.582906127,0.317605466,-0.014699936,0.039401442,0.083590336,0.223951436,0.183905286,0.139619695,0.946853178,0.285726547,-0.475451857,-0.832049191,30.20046234,-7.988798141,-25.71878242,2
203.299,20.3299,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.44479179,-9.658927917,-25.40259552,299.7832031,286.3245239,10,20946.1668,0.292648315,-0.452987671,-0.778945923,20946.15784,-1.091015073,0.674635962,0.247271311,20946.15784,0.214950252,0.333631166,0.486999088,-1.0131706,0.596143842,0.251573443,-0.00874923,0.007877703,0.065556265,0.21909603,0.185718388,0.14246087,0.947211967,0.289404124,-0.467975974,-0.835011244,30.20046234,-7.988798141,-25.71878242,2
