time (ms),time (ds),locationTimestamp_since1970,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,altimeterRelativeAltitude,altimeterPressure
154.887,15.4887,1478109661,-0.017807007,-0.253234863,-0.91267395,-0.690980847,-1.222792811,-0.228845432,-0.021408502,0.048041854,0.265627785,-0.615756691,-1.294792295,-0.222244337,-0.049863875,0.034731884,0.006554434,0.022388665,-0.007426263,0.990884521,0.046339095,-0.262515098,-0.963814557,23.01274872,-16.51030731,-30.11885071,-0.344614,101.4225
164.566,16.4566,1478109661,-0.061584473,-0.284515381,-0.897201538,-0.690980847,-1.222792811,-0.228845432,-0.021408502,0.048041854,0.265627785,-0.615756691,-1.294792295,-0.222244337,-0.049863875,0.034731884,0.006554434,0.022388665,-0.007426263,0.990884521,0.046339095,-0.262515098,-0.963814557,23.01274872,-16.51030731,-30.11885071,-0.344614,101.4225
174.231,17.4231,1478109661,-0.084243774,-0.305038452,-0.881744385,-0.904622825,-1.201899514,-0.253135326,-0.023582922,0.035841874,0.257775389,-0.82939899,-1.273898721,-0.246534258,-0.096234694,-0.029585306,0.069136925,0.016254813,-0.009388393,0.991504457,0.034650221,-0.254930079,-0.966338456,21.93117905,-15.96913719,-31.19827271,-0.344614,101.4225
183.925,18.3925,1478109661,-0.110397339,-0.300506592,-0.8253479,-1.098687374,-1.19751382,-0.218879085,-0.025600862,0.023648218,0.247951346,-1.023463726,-1.269513011,-0.212278023,-0.107166626,-0.059619978,0.087401792,0.010149397,-0.011238955,0.992192912,0.022922853,-0.245418474,-0.969146192,21.93117905,-15.96913719,-31.19827271,-0.344614,101.4225
193.603,19.3603,1478109661,-0.132247925,-0.278442383,-0.746170044,-1.098687374,-1.19751382,-0.218879085,-0.025600862,0.023648218,0.247951346,-1.023463726,-1.269513011,-0.212278023,-0.107166626,-0.059619978,0.087401792,0.010149397,-0.011238955,0.992192912,0.022922853,-0.245418474,-0.969146192,21.93117905,-15.96913719,-31.19827271,-0.344614,101.4225
203.281,20.3281,1478109661,-0.125305176,-0.234008789,-0.695861816,-1.351131876,-0.871631586,-0.086358591,-0.027967952,0.001855818,0.223994624,-1.27590847,-0.943630517,-0.079757556,-0.134057373,-0.056316167,0.228846192,-0.000640839,-0.013792209,0.993638715,0.001809454,-0.222126216,-0.975016236,21.1998806,-15.26000118,-32.04714966,-0.344614,101.4225
212.958,21.2958,1478109661,-0.123123169,-0.195022583,-0.703216553,-1.382999528,-0.507936725,-0.011163439,-0.028233136,-0.004828036,0.210951024,-1.307776332,-0.579935431,-0.00456242,-0.120584182,-0.024618853,0.281958997,-0.0038865,-0.014291732,0.994337045,-0.004720991,-0.20938994,-0.977820814,21.1998806,-15.26000118,-32.04714966,-0.344614,101.4225
222.632,22.2632,1478109661,-0.094345093,-0.16468811,-0.723632813,-1.382999528,-0.507936725,-0.011163439,-0.028233136,-0.004828036,0.210951024,-1.307776332,-0.579935431,-0.00456242,-0.120584182,-0.024618853,0.281958997,-0.0038865,-0.014291732,0.994337045,-0.004720991,-0.20938994,-0.977820814,21.1998806,-15.26000118,-32.04714966,-0.344614,101.4225
232.314,23.2314,1478109661,-0.061355591,-0.132232666,-0.752685547,-1.120593738,0.111990185,0.044115263,-0.027436055,-0.008349328,0.18744836,-1.045370698,0.039991669,0.050716262,-0.086142115,0.021664452,0.258815885,-0.005439717,-0.014047929,0.995503391,-0.008202977,-0.186352566,-0.982448697,20.4180851,-13.9872551,-33.11767578,-0.344614,101.4225
241.992,24.1992,1478109661,-0.040908813,-0.129745483,-0.772171021,-0.888318687,0.274817452,-0.003414705,-0.027317583,-0.006693287,0.178723045,-0.813095868,0.202819139,0.003186274,-0.054768968,0.045540437,0.231363907,-0.004551875,-0.013902428,0.995907351,-0.006586624,-0.177773103,-0.984049439,20.4180851,-13.9872551,-33.11767578,-0.344614,101.4225
251.642,25.1642,1478109661,-0.021697998,-0.133911133,-0.773361206,-0.637043845,0.364267707,-0.096526274,-0.028006071,-0.003853173,0.17248102,-0.561821163,0.292269558,-0.089925304,-0.037112825,0.041881599,0.212983653,-0.003125328,-0.01411644,0.996181742,-0.003795991,-0.171627074,-0.985154688,20.4180851,-13.9872551,-33.11767578,-0.344614,101.4225
261.348,26.1348,1478109661,-0.024078369,-0.149429321,-0.762954712,-0.394361693,0.473785945,-0.195839279,-0.029691954,0.000130539,0.168711014,-0.319139272,0.401787996,-0.189238325,-0.021826684,0.034000672,0.212440804,-0.001185779,-0.014787145,0.996334455,0.000128686,-0.167911798,-0.985801995,20.58032799,-12.83773804,-33.48080826,-0.344614,101.4225
