time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
96.838,9.6838,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.48178482,-24.66570282,45.1084671,31.64979553,10,20504.70586,0.303207397,0.405181885,-0.80569458,20504.70517,-0.073498452,0.154883057,0.046415436,20504.70018,-2.038245017,0.373608619,-0.43256649,-0.001689314,0.043276262,0.039819743,-0.026123637,-0.003308724,0.03393802,0.043964424,0.274655387,-0.838224312,0.469053888,0.331360459,0.419202268,-0.845263124,-1.865456581,34.39462662,-25.94034958,2,20501.83445
106.507,10.6507,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.48178482,-24.66570282,45.1084671,31.64979553,10,20504.71553,0.298233032,0.396621704,-0.79850769,20504.71519,-0.070211579,0.203739547,0.067190223,20504.72018,-2.036981835,0.376375894,-0.431960318,0.008032058,0.145164788,0.07286983,-0.030584196,-0.013469977,0.03888448,0.045113216,0.27509138,-0.837891802,0.469283345,0.333791584,0.418651849,-0.844579041,-1.865456581,34.39462662,-25.94034958,2,20501.83445
116.2,11.62,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.83102417,-24.93383026,45.56221771,32.10354614,10,20504.72523,0.29800415,0.404678345,-0.799087524,20504.71519,-0.070211579,0.203739547,0.067190223,20504.72018,-2.036981835,0.376375894,-0.431960318,0.008032058,0.145164788,0.07286983,-0.030584196,-0.013469977,0.03888448,0.045113216,0.27509138,-0.837891802,0.469283345,0.333791584,0.418651849,-0.844579041,-1.865456581,34.39462662,-25.94034958,2,20501.83445
125.879,12.5879,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.83102417,-24.93383026,45.56221771,32.10354614,10,20504.73491,0.294815063,0.408065796,-0.803863525,20504.73516,-0.094791224,0.22594818,0.065284731,20504.73017,-2.036271345,0.378250078,-0.431710398,-0.004812866,0.158893079,0.068740845,-0.037408382,-0.01374654,0.044961672,0.04586771,0.275447915,-0.837692821,0.4693563,0.335412532,0.418424875,-0.844049215,-1.745884895,34.39554214,-25.94746017,2,20501.83445
135.559,13.5559,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.83102417,-24.93383026,45.56221771,32.10354614,10,20504.74459,0.272674561,0.413543701,-0.810165405,20504.74516,-0.131144172,0.205718808,0.05227945,20504.75016,-2.034718132,0.381559977,-0.432055311,-0.064710028,0.126919433,0.043879975,-0.043335583,-0.010672332,0.038936879,0.04694656,0.276397935,-0.837237287,0.469503916,0.33815065,0.418738127,-0.842800379,-1.745884895,34.39554214,-25.94746017,2,20501.83445
145.245,14.5245,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-1.218509674,31.69132996,-24.93383026,46.29592514,32.83725357,10,20504.75427,0.262405396,0.42137146,-0.813827515,20504.74516,-0.131144172,0.205718808,0.05227945,20504.75016,-2.034718132,0.381559977,-0.432055311,-0.064710028,0.126919433,0.043879975,-0.043335583,-0.010672332,0.038936879,0.04694656,0.276397935,-0.837237287,0.469503916,0.33815065,0.418738127,-0.842800379,-1.745884895,34.39554214,-25.94746017,2,20501.83445
154.927,15.4927,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.69132996,-24.66570282,46.0032959,32.54462433,10,20504.76395,0.254241943,0.429901123,-0.8253479,20504.75514,-0.151555704,0.20131101,0.029821013,20504.75016,-2.034718132,0.381559977,-0.432055311,-0.064710028,0.126919433,0.043879975,-0.043335583,-0.010672332,0.038936879,0.04694656,0.276397935,-0.837237287,0.469503916,0.33815065,0.418738127,-0.842800379,-1.745884895,34.39554214,-25.94746017,2,20501.83445
164.582,16.4582,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.69132996,-24.66570282,46.0032959,32.54462433,10,20504.77361,0.261260986,0.43977356,-0.846801758,20504.77514,-0.128409372,0.214694193,-0.024497087,20504.78013,-2.033866343,0.385579669,-0.433739741,-0.036341514,0.122150533,-0.031973809,-0.087028004,0.009633947,0.015431694,0.048056951,0.278030093,-0.836873352,0.469076529,0.34126994,0.420267165,-0.840779603,-1.571791649,34.42071152,-25.92520332,2,20501.83445
174.286,17.4286,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.69132996,-24.66570282,46.0032959,32.54462433,10,20504.78331,0.283462524,0.437713623,-0.865463257,20504.77514,-0.128409372,0.214694193,-0.024497087,20504.78013,-2.033866343,0.385579669,-0.433739741,-0.036341514,0.122150533,-0.031973809,-0.087028004,0.009633947,0.015431694,0.048056951,0.278030093,-0.836873352,0.469076529,0.34126994,0.420267165,-0.840779603,-1.571791649,34.42071152,-25.92520332,2,20501.83445
183.976,18.3976,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.939119339,31.69132996,-24.66570282,46.0032959,32.54462433,10,20504.793,0.301773071,0.419754028,-0.84727478,20504.78513,-0.096499376,0.184899546,-0.047224238,20504.78013,-2.033866343,0.385579669,-0.433739741,-0.036341514,0.122150533,-0.031973809,-0.087028004,0.009633947,0.015431694,0.048056951,0.278030093,-0.836873352,0.469076529,0.34126994,0.420267165,-0.840779603,-1.571791649,34.42071152,-25.92520332,2,20501.83445
