time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
2481.778,248.1778,0.243912,-1.186874,-0.005051,1.211689,5261.757914
2511.32,251.132,0.211945,-1.164505,0.172333,1.196115,5261.787456
2540.863,254.0863,-0.091843,-1.205856,0.325256,1.252324,5261.816999
2570.412,257.0412,-0.093369,-1.107468,0.316681,1.155634,5261.846548
2599.961,259.9961,-0.114609,-0.946167,0.224045,0.979062,5261.876097
2629.508,262.9508,-0.155548,-0.920944,0.182877,0.951723,5261.905644
2659.056,265.9056,-0.124496,-0.935715,0.140228,0.954319,5261.935192
2688.603,268.8603,-0.084961,-0.942291,0.141678,0.956663,5261.964739
2718.149,271.8149,-0.077225,-0.956497,0.162262,0.973231,5261.994285
2747.694,274.7694,-0.116714,-0.976151,0.126923,0.991263,5262.02383
2777.241,277.7241,-0.102325,-0.947266,0.134277,0.962192,5262.053377
2806.788,280.6788,-0.042099,-1.011337,0.160385,1.024841,5262.082924
2836.332,283.6332,0.124908,-1.016647,0.120911,1.031404,5262.112468
2865.88,286.588,-0.056229,-0.977081,0.13028,0.987331,5262.142016
2895.428,289.5428,-0.284424,-0.914841,0.123184,0.965922,5262.171564
2924.974,292.4974,-0.310501,-0.937073,0.061676,0.989101,5262.20111
2954.515,295.4515,-0.114594,-0.993195,0.038239,1.000515,5262.230651
2984.066,298.4066,0.064713,-1.020615,0.058685,1.024347,5262.260202
3013.612,301.3612,-0.292053,-0.970703,0.171875,1.028154,5262.289748
3043.157,304.3157,-0.365768,-0.924942,0.194031,1.013387,5262.319293
3072.705,307.2705,-0.172516,-1.054123,0.128098,1.0758,5262.348841
3102.25,310.225,-0.050446,-0.919739,0.051315,0.922549,5262.378386
3131.792,313.1792,-0.480331,-0.749756,0.306412,0.941669,5262.407928
3161.34,316.134,-0.679214,-0.885132,-0.137985,1.124202,5262.437476
3190.884,319.0884,0.714142,-1.029327,-0.066879,1.254586,5262.46702
3220.427,322.0427,0.294708,-1.251129,-0.757446,1.491946,5262.496563
3249.969,324.9969,-0.568878,-1.691071,0.837891,1.971142,5262.526105
3279.511,327.9511,0.16362,-1.745712,-0.300827,1.778983,5262.555647
3309.05,330.905,0.155869,-0.402481,0.677521,0.803318,5262.585186
3338.598,333.8598,0.465393,-0.52356,0.418915,0.816208,5262.614734
3368.142,336.8142,0.339737,-1.023666,0.416061,1.156037,5262.644278
3397.684,339.7684,0.409988,-1.299042,0.457428,1.436955,5262.67382
3427.225,342.7225,0.638702,-1.468399,0.468597,1.668448,5262.703361
3456.767,345.6767,0.391251,-1.187775,0.473999,1.337371,5262.732903
3486.293,348.6293,0.162872,-0.83345,0.421921,0.948253,5262.762429
3515.854,351.5854,0.116776,-0.656509,0.439758,0.798767,5262.79199
3545.401,354.5401,0.184067,-0.596939,0.365738,0.723865,5262.821537
3574.944,357.4944,0.295456,-0.542053,0.279404,0.67763,5262.85108
3604.488,360.4488,0.315277,-0.435776,0.302505,0.617098,5262.880624
