timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
0,0.640381,-1.444542,2.591884,-0.012152,-0.027469,0.026725,0.075237,0.992041,-0.10097,-0.004161,0.006464,-0.0052,28.919863,33.831142,-3.488522
20,0.642972,-1.444381,2.594917,-0.0153,-0.014696,0.027788,0.075594,0.99202,-0.100903,0.001478,0.006378,-0.005176,28.94199,33.810837,-3.501854
40,0.649849,-1.444344,2.602047,-0.017409,-0.012589,0.021393,0.076309,0.992015,-0.10041,0.006394,0.012791,0.002388,28.9671,33.789017,-3.504854
60,0.654834,-1.444476,2.607343,-0.014226,-0.016862,0.019266,0.076728,0.992032,-0.099925,-0.001884,0.010913,0.00291,28.9671,33.789017,-3.504854
80,0.657822,-1.444545,2.610761,-0.013183,-0.022177,0.020332,0.076985,0.992041,-0.099641,-0.002506,0.010919,0.00052,28.992733,33.768608,-3.489519
100,0.662232,-1.444504,2.615606,-0.014236,-0.016844,0.023528,0.077448,0.992036,-0.099333,0.002599,0.009872,0.001371,28.992733,33.768608,-3.489519
120,0.66531,-1.444459,2.61894,-0.012086,-0.008324,0.028861,0.077781,0.99203,-0.099129,-0.004203,0.002706,-0.004265,29.017155,33.747532,-3.490457
140,0.667846,-1.444056,2.621843,-0.014255,-0.017876,0.030985,0.07828,0.991979,-0.099245,-0.003207,0.003108,-0.006834,29.038111,33.729641,-3.489135
160,0.672535,-1.44384,2.627016,-0.011097,-0.026383,0.03312,0.078878,0.991952,-0.099044,-0.003804,0.003135,-0.007035,29.038111,33.729641,-3.489135
180,0.677261,-1.443567,2.632521,-0.010099,-0.04232,0.036314,0.079515,0.991917,-0.098882,-0.001512,0.011409,-0.001948,29.06562,33.704037,-3.507438
200,0.677783,-1.443312,2.63414,-0.01548,-0.055041,0.040562,0.079725,0.991885,-0.099037,-0.007856,0.008359,-0.010659,29.087158,33.684006,-3.521315
220,0.682628,-1.442874,2.640288,-0.022968,-0.064588,0.039481,0.080478,0.991829,-0.098987,0.003171,0.001854,-0.012341,29.105816,33.663208,-3.565759
240,0.686006,-1.442484,2.645035,-0.021892,-0.067822,0.029893,0.081057,0.991779,-0.099014,0.000486,0.005673,-0.011979,29.105816,33.663208,-3.565759
260,0.688695,-1.442192,2.649078,-0.012289,-0.074311,0.011795,0.081507,0.991742,-0.099019,-0.008005,0.022418,0.000203,29.138699,33.628677,-3.622554
280,0.689086,-1.442372,2.651071,-0.004813,-0.064742,0.018202,0.081432,0.991765,-0.098849,-0.008785,0.038707,-0.000012,29.155333,33.60825,-3.677878
300,0.694467,-1.442555,2.657375,0.004888,-0.028598,0.025687,0.081847,0.991788,-0.09827,-0.003218,0.010104,0.018131,29.155333,33.60825,-3.677878
320,0.699853,-1.442228,2.662661,0.002998,-0.002278,-0.037173,0.082584,0.991746,-0.098076,0.058286,0.030684,0.006981,29.164263,33.598392,-3.697048
340,0.69279,-1.443089,2.656085,-0.00984,-0.036385,-0.068104,0.081343,0.991857,-0.097999,0.031053,0.015224,0.02729,29.170378,33.593765,-3.690869
360,0.684203,-1.444482,2.648142,-0.031057,-0.028973,-0.092647,0.079626,0.992033,-0.097624,0.050288,0.017519,0.004286,29.170378,33.593765,-3.690869
380,0.678094,-1.445687,2.642208,-0.057471,-0.007861,-0.150222,0.078278,0.992184,-0.097177,0.043228,-0.013455,-0.030554,29.088545,33.663174,-3.704304
400,0.664184,-1.449141,2.62827,-0.094645,-0.001497,-0.184383,0.074805,0.992609,-0.095557,0.01751,-0.014506,-0.036202,28.986025,33.755009,-3.672081
420,0.647896,-1.452478,2.611581,-0.128584,0.0262,-0.199352,0.07124,0.993009,-0.094122,0.002079,0.003848,-0.02334,28.986025,33.755009,-3.672081
440,0.637276,-1.457339,2.600236,-0.170091,0.035927,-0.196226,0.067364,0.993571,-0.090993,0.003742,0.001974,-0.033839,28.803026,33.920555,-3.585561
460,0.628453,-1.462062,2.590447,-0.218999,0.043445,-0.218684,0.063798,0.994094,-0.087786,0.023024,-0.010894,-0.040541,28.637465,34.077091,-3.423757
480,0.620815,-1.468821,2.582169,-0.270155,0.021208,-0.240089,0.059216,0.994805,-0.082803,0.011783,-0.021783,-0.045249,28.431856,34.27142,-3.189648
500,0.610463,-1.475696,2.571611,-0.325553,0.004314,-0.258304,0.054434,0.995481,-0.077806,0.018182,-0.001554,-0.047224,28.431856,34.27142,-3.189648
520,0.605549,-1.484807,2.566631,-0.380869,0.002246,-0.290367,0.048886,0.996305,-0.070612,0.024723,0.004641,-0.050268,28.179867,34.504131,-2.904216
540,0.599227,-1.494501,2.559912,-0.425426,0.033129,-0.314944,0.042989,0.997091,-0.062941,0.012065,0.000758,-0.02588,27.981606,34.685932,-2.643965
560,0.59561,-1.50522,2.555082,-0.440237,0.060832,-0.312832,0.036763,0.997851,-0.054246,-0.03426,0.000425,-0.037002,27.664356,34.971184,-2.185034
580,0.58105,-1.515733,2.539973,-0.453255,0.009941,-0.290494,0.030209,0.998484,-0.046004,-0.02345,0.01003,-0.039842,27.664356,34.971184,-2.185034
600,0.582409,-1.525838,2.543158,-0.402934,-0.183593,-0.258487,0.024721,0.99899,-0.037534,-0.031846,0.001834,-0.049212,27.232594,35.340206,-1.590718
620,0.581009,-1.534298,2.549695,-0.340478,-0.531204,-0.197727,0.020029,0.999334,-0.030503,-0.060861,-0.017873,-0.098312,27.232594,35.340206,-1.590718
640,0.582263,-1.541897,2.565781,-0.337431,-0.852271,-0.194604,0.01589,0.999582,-0.024134,-0.039068,-0.037165,-0.128805,26.978708,35.537125,-1.528588
660,0.641123,-1.550433,2.642484,-0.458944,-0.835591,-0.122356,0.012178,0.999793,-0.016318,-0.006059,-0.039313,0.103202,26.738688,35.704067,-1.826715
680,0.973132,-1.557623,2.986694,-0.426977,-0.486562,-0.020989,0.010889,0.999913,-0.007413,-0.099574,0.099696,0.069058,26.738688,35.704067,-1.826715
700,1.627014,-1.559084,-2.634225,-0.399334,-0.411923,0.065339,0.011694,0.999931,0.000658,-0.030264,0.006309,0.02754,26.642973,35.774776,-1.84177
720,2.121249,-1.555846,-2.13034,-0.352869,-0.540894,0.025964,0.012741,0.999888,0.00782,0.105515,0.018407,0.014458,26.679241,35.751148,-1.774277
740,2.450515,-1.552299,-1.787377,-0.312934,-0.760585,-0.101884,0.011789,0.999829,0.014253,0.067801,0.007419,-0.023026,26.639826,35.775879,-1.865674
760,2.706015,-1.548569,-1.515452,-0.299218,-0.819278,-0.142365,0.009378,0.999753,0.02015,0.021155,0.010104,-0.004891,26.639826,35.775879,-1.865674
780,2.897604,-1.544152,-1.308204,-0.288207,-0.74505,-0.178555,0.006436,0.999645,0.025852,0.033603,0.002308,0.025204,26.372156,35.949497,-2.284211
800,3.062337,-1.539348,-1.130443,-0.267279,-0.598675,-0.24135,0.002489,0.999506,0.031345,0.070203,0.039465,0.063473,26.372156,35.949497,-2.284211
820,-3.068618,-1.534524,-0.966907,-0.226475,-0.53735,-0.287081,-0.002644,0.999342,0.036168,0.048253,0.025194,0.070094,26.090601,36.140083,-2.49988
840,-2.932238,-1.529915,-0.820646,-0.159006,-0.464414,-0.330632,-0.008494,0.999164,0.039978,0.047389,0.019924,0.093872,25.916794,36.25877,-2.587647
860,-2.798261,-1.52568,-0.678416,-0.106336,-0.35095,-0.356085,-0.015182,0.998982,0.042468,0.061355,0.01974,0.153256,25.455576,36.568577,-2.797745
880,-2.659551,-1.521251,-0.53467,-0.035281,-0.189899,-0.426247,-0.022959,0.998773,0.043881,0.021174,0.050482,0.167957,25.455576,36.568577,-2.797745
900,-2.518696,-1.517208,-0.391151,0.051331,-0.087,-0.407956,-0.031248,0.998564,0.043503,0.015074,0.049363,0.137634,25.077906,36.820892,-2.897415
920,-2.396029,-1.513993,-0.266686,0.110843,-0.076261,-0.333262,-0.038514,0.998387,0.041711,-0.048477,0.00558,0.034323,24.545807,37.165195,-3.053867
940,-2.306036,-1.511867,-0.175244,0.115984,-0.057731,-0.221367,-0.043681,0.998264,0.039505,-0.066014,-0.004734,0.01329,24.545807,37.165195,-3.053867
960,-2.238393,-1.510762,-0.106487,0.116957,-0.04043,-0.152101,-0.047117,0.998199,0.037145,-0.041033,0.007478,-0.003957,24.283731,37.324738,-3.199797
980,-2.184517,-1.509898,-0.052019,0.098874,-0.017923,-0.124424,-0.049754,0.998146,0.03505,-0.027196,-0.00129,-0.034471,24.097548,37.430935,-3.362687
1000,-2.143321,-1.509264,-0.010949,0.079741,0.02276,-0.073302,-0.051687,0.998107,0.033314,-0.073511,-0.035522,-0.078145,24.097548,37.430935,-3.362687
1020,-2.127674,-1.509726,0.003762,0.019983,0.068159,0.053403,-0.051811,0.998136,0.032258,-0.094978,0.014972,0.070739,23.966307,37.504013,-3.484229
1040,-2.135355,-1.512505,-0.005313,0.083699,0.081132,0.156875,-0.049218,0.998302,0.031171,-0.041862,0.049382,0.033649,24.050493,37.450573,-3.478959
1060,-2.142728,-1.516651,-0.014172,0.084488,0.043105,0.215471,-0.045506,0.998535,0.029292,-0.040935,0.008576,0.001226,24.050493,37.450573,-3.478959
1080,-2.167817,-1.522209,-0.039447,0.103345,0.002942,0.286885,-0.040167,0.99882,0.027304,-0.039042,-0.001368,0.011987,24.227076,37.333008,-3.517061
1100,-2.204604,-1.52822,-0.0768,0.111957,0.037,0.302891,-0.034297,0.999094,0.025207,-0.018056,0.049155,0.030503,24.59071,37.083096,-3.635313
1120,-2.277239,-1.534864,-0.150477,0.149299,0.047442,0.289111,-0.027327,0.999354,0.02332,0.01715,0.006322,0.018748,24.59071,37.083096,-3.635313
1140,-2.318603,-1.5412,-0.191678,0.167103,-0.039848,0.2774,-0.021697,0.999562,0.020124,0.026045,0.004131,0.028582,24.962803,36.825104,-3.72085
1160,-2.350466,-1.547396,-0.222752,0.191705,-0.035853,0.236954,-0.016639,0.999726,0.01645,0.032951,0.01303,0.024368,25.255268,36.602871,-3.933975
1180,-2.369001,-1.553333,-0.240699,0.199239,-0.026393,0.21779,-0.012189,0.999848,0.012505,0.007153,0.008926,-0.006646,25.379412,36.503883,-4.052989
1200,-2.393301,-1.559189,-0.264644,0.202502,-0.011542,0.212471,-0.007897,0.999933,0.008506,0.002846,-0.017511,-0.014091,25.379412,36.503883,-4.052989
1220,-2.438742,-1.565049,-0.310025,0.204694,0.00118,0.206085,-0.003715,0.999983,0.004385,0.017875,0.017213,0.04188,25.612198,36.313984,-4.2877
1240,2.917038,-1.570567,-1.237756,0.21016,0.021239,0.17733,0.000051,1,0.000223,0.018611,0.031494,0.01885,25.834976,36.128754,-4.51016
1260,0.630167,-1.565657,2.758604,0.223951,-0.024746,0.125132,0.003028,0.999987,-0.004152,0.046914,0.00662,0.008867,25.834976,36.128754,-4.51016
1280,0.783015,-1.55874,2.912837,0.237746,-0.0943,0.030323,0.008505,0.999927,-0.008545,0.069391,0.004605,0.021332,26.008142,35.974838,-4.739427
1300,0.54357,-1.555045,2.67541,0.249626,-0.093581,-0.041047,0.008146,0.999876,-0.01348,0.045962,0.015215,0.018287,26.193253,35.798172,-5.047646
1320,0.366915,-1.550858,2.500234,0.260403,-0.06495,-0.049546,0.007152,0.999801,-0.01861,0.016758,0.007035,0.019266,26.193253,35.798172,-5.047646
