timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
680,-1.412703,1.456588,-1.466136,1.68151,2.774968,-2.040252,-0.112539,-0.993485,-0.017941,-0.332545,-0.28955,-0.038104,-25.70043,-31.130556,0.890535
700,-1.687332,1.496732,-1.130866,1.553163,2.991787,-1.910429,-0.073494,-0.997258,0.008604,-0.3292,-0.370845,-0.014265,-24.440868,-32.134949,0.636869
720,-2.285658,1.523002,-0.473441,1.080768,2.807205,-1.954989,-0.03608,-0.998858,0.031318,-0.284126,-0.399656,-0.012107,-22.572142,-33.480068,0.007972
740,3.070283,1.526822,0.506992,0.440067,2.521566,-2.152239,0.003132,-0.999033,0.043849,-0.12508,-0.275366,-0.08668,-22.572142,-33.480068,0.007972
760,2.375225,1.5039,1.250356,0.027148,2.232158,-2.297945,0.046359,-0.997763,0.048158,0.018094,-0.258371,-0.159105,-20.414623,-34.823414,-0.994856
780,2.124489,1.468895,1.539053,0.316513,1.522548,-1.923609,0.086527,-0.994812,0.053491,0.027197,-0.233078,-0.150399,-17.938873,-36.11216,-2.12728
800,2.084633,1.439736,1.599387,0.451315,0.769708,-1.091375,0.11381,-0.991424,0.064235,0.049917,-0.369645,-0.008113,-17.938873,-36.11216,-2.12728
820,2.104974,1.428467,1.589215,0.260839,0.297373,-0.065714,0.122088,-0.989888,0.07222,0.025846,-0.506389,-0.015702,-16.319475,-36.867592,-2.207296
840,2.15816,1.42909,1.535409,0.251763,-0.035733,0.097215,0.117563,-0.989976,0.078267,0.294806,-0.314772,0.008556,-16.276537,-36.900368,-1.963093
860,2.082673,1.392499,1.621774,0.65746,0.709634,-3.804943,0.154622,-0.984147,0.086871,0.565043,-0.218856,0.236707,-16.276537,-36.900368,-1.963093
880,1.898359,1.312335,1.811184,-0.874507,-0.28568,-3.366738,0.242004,-0.966784,0.082234,0.85315,-0.5417,0.661693,-13.913366,-37.864758,-1.759254
900,1.846434,1.309844,1.878138,-0.340292,0.540065,1.010547,0.248262,-0.966145,0.070218,0.459029,-0.600826,-0.494229,-13.913366,-37.864758,-1.759254
920,1.955411,1.336585,1.763684,1.303458,0.028623,1.852941,0.215122,-0.972698,0.087076,0.187924,-0.117055,-0.310724,-11.400405,-38.641525,-2.69808
940,2.086247,1.362253,1.633593,0.297307,0.284447,1.67969,0.180135,-0.978334,0.102053,0.026026,0.110795,0.47595,-13.471825,-38.032761,-1.560591
960,2.129146,1.389334,1.596607,-0.70784,0.276993,1.096147,0.153061,-0.983581,0.09561,-0.278808,-0.03476,0.147676,-14.589916,-37.609463,-1.75474
980,2.101042,1.410818,1.634019,-0.832549,0.481322,0.53977,0.137422,-0.987231,0.080563,-0.381166,-0.035398,0.026263,-14.589916,-37.609463,-1.75474
1000,2.035002,1.41801,1.710257,-0.55835,0.423887,-0.241866,0.136088,-0.988351,0.068139,-0.18841,0.149575,-0.29583,-15.394182,-37.220055,-2.846597
1020,1.988236,1.413828,1.764238,-0.118815,0.268754,-0.359409,0.142901,-0.987706,0.063377,0.038038,0.092671,-0.24308,-15.109922,-37.27232,-3.589023
1040,1.988017,1.408775,1.767518,0.164376,0.092224,-0.136259,0.147476,-0.986903,0.065368,0.1763,0.051829,-0.202315,-15.109922,-37.27232,-3.589023
1060,2.028334,1.412211,1.72788,0.214734,0.050523,0.601168,0.141678,-0.987452,0.06976,0.32132,-0.078359,0.043613,-14.844744,-37.378963,-3.586521
1080,2.110395,1.427391,1.648693,0.102643,0.261271,1.067727,0.122608,-0.989735,0.073428,-0.026325,-0.077632,0.195447,-15.559038,-37.103649,-3.41351
1100,2.191516,1.445529,1.574156,-0.195801,0.412804,0.954295,0.101634,-0.992164,0.072668,-0.121714,-0.062264,0.204889,-15.559038,-37.103649,-3.41351
1120,2.233734,1.460414,1.54165,-0.327485,0.548667,0.542801,0.086826,-0.993914,0.067796,-0.220905,0.038775,0.12329,-16.638437,-36.607193,-3.673183
1140,2.21665,1.46972,1.569071,-0.431315,0.457004,0.151546,0.080581,-0.994896,0.060733,-0.088851,0.000191,-0.038699,-17.113356,-36.316963,-4.315987
1160,2.166232,1.476119,1.6263,-0.377632,0.252439,0.09192,0.078266,-0.995521,0.053022,-0.020512,0.009666,-0.075483,-17.113356,-36.316963,-4.315987
1180,2.130072,1.482585,1.666488,-0.316586,0.158326,0.253977,0.074674,-0.996112,0.046742,0.100802,-0.003476,-0.043843,-17.171324,-36.222702,-4.845408
1200,2.12541,1.491877,1.673517,-0.242687,0.100407,0.445889,0.06702,-0.996888,0.041517,0.03648,-0.004074,0.022417,-17.389498,-36.057831,-5.277752
1220,2.140564,1.503289,1.660525,-0.298124,0.126406,0.513992,0.056799,-0.997722,0.036388,0.000467,0.016964,0.070958,-17.389498,-36.057831,-5.277752
1240,2.117823,1.516294,1.686501,-0.474657,0.196133,0.514765,0.046526,-0.998515,0.028335,-0.041674,0.050166,0.099594,-17.888769,-35.761463,-5.614818
1260,2.009878,1.529825,1.800521,-0.601709,0.333286,0.41122,0.037075,-0.999161,0.017412,0.000996,0.003418,-0.030459,-18.394506,-35.406147,-6.201889
1280,1.771006,1.540455,2.042713,-0.522869,0.038382,0.37932,0.029731,-0.99954,0.006033,0.044854,-0.031054,-0.095724,-18.394506,-35.406147,-6.201889
1300,1.480727,1.550955,2.331826,-0.309665,-0.072091,0.577855,0.01976,-0.999803,-0.001785,0.035111,0.04178,0.010497,-18.762732,-35.075443,-6.934669
1320,0.770338,1.560475,3.042425,-0.314571,0.065253,0.620502,0.007187,-0.999947,-0.007407,-0.06659,-0.005714,0.07659,-19.341053,-34.691326,-7.269954
1340,-0.181258,1.553948,-2.286899,-0.540743,0.136512,0.440048,-0.003037,-0.999858,-0.016571,-0.074325,-0.017827,0.07666,-19.341053,-34.691326,-7.269954
1360,-0.359181,1.541452,-2.105724,-0.498924,0.156172,0.347424,-0.010313,-0.999569,-0.027468,0.013121,0.035336,-0.052076,-19.891661,-34.275818,-7.739942
