timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
0,2.130344,-1.542898,-1.883607,-0.003491,-0.015535,0.023685,0.023641,0.999611,0.014807,-0.010762,0.008629,0.001703,29.203571,36.182728,-8.316246
20,2.124274,-1.542521,-1.889467,-0.00347,-0.004867,0.032211,0.024051,0.9996,0.014861,-0.008151,0.009586,0.003434,29.203571,36.182728,-8.316246
40,2.11436,-1.541874,-1.899452,-0.002394,0.005815,0.045001,0.02475,0.999582,0.014956,0.009292,0.009863,0.001081,29.217394,36.17065,-8.320249
60,2.098349,-1.541045,-1.915531,-0.000274,-0.000599,0.038611,0.025703,0.999557,0.014975,0.004998,0.010925,0.000009,29.253214,36.143337,-8.313081
80,2.088784,-1.540443,-1.924992,-0.002397,-0.005957,0.026885,0.026367,0.999539,0.015026,0.000168,0.008059,-0.000912,29.253214,36.143337,-8.313081
100,2.083912,-1.540074,-1.929721,-0.005598,-0.008077,0.025813,0.026762,0.999528,0.015079,0.003863,0.011901,0.001751,29.29497,36.109306,-8.313921
120,2.078774,-1.539458,-1.93477,-0.006485,-0.001527,0.020288,0.027377,0.999509,0.015241,0.005445,0.007968,0.001834,29.316925,36.091049,-8.315804
140,2.077427,-1.539009,-1.936001,-0.00544,-0.011131,0.012829,0.027789,0.999495,0.015422,0.001538,0.002626,0.005132,29.316925,36.091049,-8.315804
160,2.078509,-1.538739,-1.934741,-0.005433,-0.007932,0.014961,0.028009,0.999486,0.015583,-0.000253,0.009166,0.002148,29.343197,36.071106,-8.309676
180,2.075551,-1.538375,-1.937579,-0.00435,-0.002616,0.016029,0.028373,0.999474,0.015676,0.001336,0.008399,0.001338,29.354906,36.061535,-8.309856
200,2.075583,-1.537953,-1.937548,-0.003239,0.001574,0.002181,0.028742,0.999461,0.015881,0.003942,0.013509,0.002369,29.354906,36.061535,-8.309856
220,2.085824,-1.538086,-1.927278,-0.004304,-0.001635,-0.00315,0.028462,0.999465,0.016109,-0.009694,0.012238,0.004109,29.374918,36.04715,-8.301542
240,2.100131,-1.538247,-1.913047,-0.003237,0.006921,0.009638,0.02809,0.99947,0.016433,-0.006849,0.016261,0.00409,29.364628,36.057274,-8.29399
260,2.09917,-1.537821,-1.914176,-0.005356,0.006906,0.004308,0.028473,0.999456,0.016621,0.006866,0.00445,0.000667,29.359385,36.066448,-8.272619
280,2.099835,-1.537862,-1.91355,-0.004199,0.000718,0.005171,0.028426,0.999458,0.016619,-0.006545,0.002251,-0.000506,29.359385,36.066448,-8.272619
300,2.103004,-1.537925,-1.910525,0.000065,0.011402,0.021162,0.02832,0.99946,0.016677,-0.008148,0.005591,0.001252,29.36224,36.065834,-8.265162
320,2.098253,-1.537647,-1.915667,-0.000964,0.020974,0.021163,0.028639,0.999451,0.016682,0.000078,0.013443,0.000896,29.36224,36.065834,-8.265162
340,2.089559,-1.537271,-1.924701,-0.000978,0.013505,0.014768,0.029109,0.999438,0.016619,0.003804,0.006696,-0.002154,29.378311,36.056236,-8.249922
360,2.087116,-1.536973,-1.927366,-0.003105,0.007084,0.003042,0.029409,0.999428,0.016695,0.006922,0.009559,0.001249,29.403381,36.038647,-8.237448
380,2.093395,-1.536866,-1.921111,-0.004185,-0.002522,-0.006551,0.029396,0.999424,0.016933,-0.003273,0.006923,0.005895,29.416124,36.030079,-8.229434
400,2.100337,-1.536948,-1.914072,0.000062,-0.005726,-0.006545,0.029207,0.999427,0.017095,-0.006563,0.005257,0.002879,29.416124,36.030079,-8.229434
420,2.121646,-1.537686,-1.892674,0.000013,-0.002423,0.02009,0.028207,0.999452,0.017327,-0.027032,0.02014,0.007102,29.403111,36.042583,-8.221174
440,2.108485,-1.53705,-1.90632,-0.000825,0.035048,0.030516,0.028979,0.999431,0.01728,0.012448,0.008962,-0.002357,29.374973,36.067837,-8.211015
460,2.095244,-1.536259,-1.919957,-0.00303,0.00736,0.017721,0.02989,0.999404,0.017291,0.000521,0.00583,0.003385,29.426081,36.029972,-8.194219
480,2.095934,-1.536042,-1.919235,-0.003048,-0.004385,0.005997,0.030065,0.999396,0.01742,0.000025,0.007867,0.003744,29.426081,36.029972,-8.194219
500,2.097968,-1.53589,-1.917129,-0.004103,-0.004399,0.001733,0.030161,0.999391,0.017558,0.001501,0.008116,0.003484,29.44149,36.01886,-8.187743
520,2.103636,-1.535792,-1.911337,-0.005178,-0.005449,0.003862,0.030145,0.999387,0.017778,0.0008,0.002871,0.003035,29.44149,36.01886,-8.187743
540,2.101784,-1.535749,-1.913179,-0.000884,0.000896,-0.000391,0.030216,0.999386,0.017744,-0.000552,0.000172,-0.001585,29.441952,36.020126,-8.180494
560,2.100269,-1.535783,-1.914728,0.003378,0.001949,0.000682,0.030213,0.999387,0.017681,-0.00171,-0.000486,-0.001018,29.441952,36.020126,-8.180494
580,2.096482,-1.535822,-1.918544,0.006569,-0.002337,-0.004641,0.030246,0.999388,0.017547,0.002652,0.012422,0.000337,29.444593,36.017315,-8.183363
600,2.102416,-1.536161,-1.912492,0.003373,-0.005538,-0.009976,0.029849,0.9994,0.017554,-0.007221,0.01592,0.00361,29.445999,36.015232,-8.187472
